Return_ID,Order_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount,Return_Status
RET0000078,ORD0000821,P000313,2025-04-03 18:32:17,Damaged in Transit,65.27,Approved
RET0000079,ORD0000825,P001334,2025-04-03 18:35:31,Quality/Freshness Issue,68.32,Approved
RET0000080,ORD0000840,P001638,2025-04-01 18:47:19,Expired Product,0.0,Pending
RET0000081,ORD0000840,P000322,2025-04-02 18:47:19,Wrong Item Delivered,24.32,Approved
RET0000082,ORD0000854,P000715,2025-04-02 18:51:48,Expired Product,47.81,Approved
RET0000083,ORD0000861,P000538,2025-04-01 18:54:58,Damaged in Transit,40.3,Approved
RET0000084,ORD0000864,P000657,2025-04-01 18:57:00,Wrong Item Delivered,0.0,Pending
RET0000085,ORD0000884,P000753,2025-04-01 19:05:59,Quality/Freshness Issue,305.7,Approved
RET0000086,ORD0000889,P000576,2025-04-01 19:06:36,Damaged in Transit,244.28,Approved
RET0000087,ORD0000890,P000224,2025-04-01 19:07:30,Expired Product,189.54,Approved
RET0000088,ORD0000890,P001276,2025-04-01 19:07:30,Wrong Item Delivered,41.17,Approved
RET0000089,ORD0000925,P000780,2025-04-02 19:23:18,Damaged in Transit,28.5,Approved
RET0000090,ORD0000929,P001502,2025-04-02 19:24:16,Damaged in Transit,0.0,Rejected
RET0000091,ORD0000930,P001960,2025-04-02 19:24:52,Damaged in Transit,19.82,Approved
RET0000092,ORD0000951,P000776,2025-04-02 19:28:55,Damaged in Transit,97.31,Approved
RET0000093,ORD0000955,P000637,2025-04-02 19:30:48,Wrong Item Delivered,168.54,Approved
RET0000094,ORD0000964,P001767,2025-04-01 19:33:55,Quality/Freshness Issue,76.28,Approved
RET0000095,ORD0000981,P001138,2025-04-02 19:37:31,Damaged in Transit,111.67,Approved
RET0000096,ORD0000983,P001092,2025-04-04 19:38:39,Quality/Freshness Issue,0.0,Pending
RET0000097,ORD0000985,P000991,2025-04-04 19:40:01,Damaged in Transit,47.06,Approved
RET0000098,ORD0000987,P002185,2025-04-02 19:40:20,Damaged in Transit,36.07,Approved
RET0000099,ORD0000990,P000636,2025-04-01 19:40:46,Damaged in Transit,575.43,Approved
RET0000100,ORD0000992,P001508,2025-04-01 19:41:23,Quality/Freshness Issue,29.51,Approved
RET0000101,ORD0000997,P001461,2025-04-01 19:42:04,Wrong Item Delivered,48.02,Approved
RET0000102,ORD0001015,P000069,2025-04-01 19:48:38,Quality/Freshness Issue,119.99,Approved
RET0000103,ORD0001033,P000274,2025-04-03 19:53:29,Expired Product,67.74,Approved
RET0000104,ORD0001033,P001458,2025-04-02 19:53:29,Quality/Freshness Issue,51.68,Approved
RET0000105,ORD0001037,P000084,2025-04-01 19:54:40,Expired Product,25.72,Approved
RET0000106,ORD0001061,P001889,2025-04-02 20:01:09,Damaged in Transit,78.09,Approved
RET0000107,ORD0001065,P001818,2025-04-03 20:04:41,Expired Product,119.21,Approved
RET0000108,ORD0001091,P000335,2025-04-01 20:10:32,Wrong Item Delivered,64.11,Approved
RET0000109,ORD0001091,P002100,2025-04-01 20:10:32,Wrong Item Delivered,81.16,Approved
RET0000110,ORD0001103,P002173,2025-04-04 20:15:27,Damaged in Transit,15.02,Approved
RET0000111,ORD0001123,P000902,2025-04-01 20:22:09,Damaged in Transit,196.81,Approved
RET0000112,ORD0001132,P001827,2025-04-01 20:27:22,Damaged in Transit,0.0,Rejected
RET0000113,ORD0001135,P000862,2025-04-01 20:27:59,Expired Product,435.58,Approved
RET0000114,ORD0001140,P000758,2025-04-02 20:30:05,Expired Product,104.82,Approved
RET0000115,ORD0001142,P000332,2025-04-01 20:30:09,Damaged in Transit,58.46,Approved
RET0000116,ORD0001159,P001358,2025-04-02 20:37:28,Damaged in Transit,58.02,Approved
RET0000117,ORD0001184,P001659,2025-04-02 20:44:37,Damaged in Transit,89.07,Approved
RET0000118,ORD0001184,P000417,2025-04-01 20:44:37,Damaged in Transit,326.85,Approved
RET0000119,ORD0001197,P000213,2025-04-01 20:50:10,Wrong Item Delivered,194.49,Approved
RET0000120,ORD0001201,P000398,2025-04-01 20:51:00,Expired Product,54.52,Approved
RET0000121,ORD0001214,P001728,2025-04-01 20:54:32,Damaged in Transit,420.05,Approved
RET0000122,ORD0001215,P000689,2025-04-02 20:54:37,Expired Product,35.69,Approved
RET0000123,ORD0001231,P000965,2025-04-01 21:00:50,Expired Product,417.54,Approved
RET0000124,ORD0001233,P001434,2025-04-01 21:00:54,Wrong Item Delivered,193.81,Approved
RET0000125,ORD0001246,P000280,2025-04-01 21:06:18,Quality/Freshness Issue,391.31,Approved
RET0000126,ORD0001250,P001836,2025-04-02 21:08:43,Quality/Freshness Issue,61.16,Approved
RET0000127,ORD0001265,P002154,2025-04-01 21:17:24,Damaged in Transit,165.6,Approved
RET0000128,ORD0001272,P001433,2025-04-02 21:18:16,Damaged in Transit,431.89,Approved
RET0000129,ORD0001277,P000624,2025-04-01 21:19:58,Not as Expected,345.95,Approved
RET0000130,ORD0001322,P001083,2025-04-01 21:36:10,Damaged in Transit,127.36,Approved
RET0000131,ORD0001332,P000449,2025-04-01 21:41:16,Wrong Item Delivered,45.05,Approved
RET0000132,ORD0001334,P001356,2025-04-01 21:41:39,Damaged in Transit,52.59,Approved
RET0000133,ORD0001336,P000880,2025-04-01 21:42:06,Wrong Item Delivered,0.0,Rejected
RET0000134,ORD0001343,P001587,2025-04-01 21:44:55,Damaged in Transit,107.87,Approved
RET0000135,ORD0001346,P000447,2025-04-01 21:46:19,Expired Product,135.42,Approved
RET0000136,ORD0001349,P000903,2025-04-01 21:48:25,Damaged in Transit,128.08,Approved
RET0000137,ORD0001359,P000221,2025-04-01 21:52:51,Damaged in Transit,106.66,Approved
RET0000138,ORD0001369,P001848,2025-04-02 21:56:52,Quality/Freshness Issue,158.03,Approved
RET0000139,ORD0001370,P002088,2025-04-02 21:56:58,Quality/Freshness Issue,27.55,Approved
RET0000140,ORD0001388,P001751,2025-04-02 22:08:20,Damaged in Transit,36.94,Approved
RET0000141,ORD0001411,P000222,2025-04-01 22:41:19,Damaged in Transit,98.29,Approved
RET0000142,ORD0001418,P001913,2025-04-01 22:46:03,Expired Product,0.0,Pending
RET0000143,ORD0001424,P002221,2025-04-01 22:55:26,Wrong Item Delivered,83.98,Approved
RET0000144,ORD0001427,P001743,2025-04-01 22:58:22,Expired Product,139.61,Approved
RET0000145,ORD0001429,P000589,2025-04-01 23:00:18,Quality/Freshness Issue,227.37,Approved
RET0000146,ORD0001429,P000257,2025-04-04 23:00:18,Quality/Freshness Issue,33.41,Approved
RET0000147,ORD0001448,P001284,2025-04-01 23:24:02,Expired Product,176.04,Approved
RET0000148,ORD0001463,P000522,2025-04-01 23:42:28,Expired Product,136.72,Approved
RET0000149,ORD0001474,P000277,2025-04-03 06:18:21,Quality/Freshness Issue,40.87,Approved
RET0000150,ORD0001475,P001308,2025-04-02 06:18:46,Wrong Item Delivered,111.15,Approved
RET0000151,ORD0001487,P000432,2025-04-02 06:48:51,Damaged in Transit,28.24,Approved
RET0000152,ORD0001489,P000960,2025-04-03 06:52:48,Damaged in Transit,43.3,Approved
RET0000153,ORD0001494,P000518,2025-04-02 07:07:59,Quality/Freshness Issue,377.07,Approved
RET0000154,ORD0001495,P002213,2025-04-03 07:09:24,Damaged in Transit,15.99,Approved
RET0000155,ORD0001512,P001743,2025-04-02 07:39:03,Quality/Freshness Issue,157.57,Approved
RET0000156,ORD0001526,P001674,2025-04-02 07:54:18,Wrong Item Delivered,31.4,Approved
RET0000157,ORD0001561,P000678,2025-04-03 08:49:13,Wrong Item Delivered,99.52,Approved
RET0000158,ORD0001596,P000796,2025-04-03 09:27:42,Damaged in Transit,434.69,Approved
RET0000159,ORD0001597,P001908,2025-04-02 09:28:43,Quality/Freshness Issue,0.0,Rejected
RET0000160,ORD0001622,P001576,2025-04-02 09:55:07,Damaged in Transit,38.62,Approved
RET0000161,ORD0001627,P000268,2025-04-02 10:01:27,Damaged in Transit,47.33,Approved
RET0000162,ORD0001629,P001368,2025-04-02 10:02:25,Damaged in Transit,120.8,Approved
RET0000163,ORD0001634,P001987,2025-04-02 10:05:38,Damaged in Transit,176.41,Approved
RET0000164,ORD0001643,P001388,2025-04-02 10:12:47,Damaged in Transit,359.06,Approved
RET0000165,ORD0001645,P000455,2025-04-02 10:15:48,Damaged in Transit,53.9,Approved
RET0000166,ORD0001703,P001840,2025-04-02 11:27:47,Damaged in Transit,0.0,Pending
RET0000167,ORD0001715,P001550,2025-04-02 11:38:47,Quality/Freshness Issue,27.38,Approved
RET0000168,ORD0001723,P000521,2025-04-02 11:45:28,Not as Expected,42.43,Approved
RET0000169,ORD0001728,P000590,2025-04-04 11:50:56,Not as Expected,276.58,Approved
RET0000170,ORD0001730,P001869,2025-04-02 11:54:30,Wrong Item Delivered,185.41,Approved
RET0000171,ORD0001743,P001070,2025-04-03 12:02:05,Damaged in Transit,115.0,Approved
RET0000172,ORD0001770,P001922,2025-04-03 12:19:36,Damaged in Transit,56.86,Approved
RET0000173,ORD0001774,P000665,2025-04-02 12:23:59,Wrong Item Delivered,38.53,Approved
RET0000174,ORD0001804,P000085,2025-04-02 12:45:00,Damaged in Transit,29.81,Approved
RET0000175,ORD0001833,P002274,2025-04-04 13:06:18,Expired Product,135.56,Approved
RET0000176,ORD0001859,P000024,2025-04-02 13:16:04,Quality/Freshness Issue,315.78,Approved
RET0000177,ORD0001872,P000037,2025-04-02 13:23:13,Wrong Item Delivered,27.11,Approved
RET0000178,ORD0001872,P000200,2025-04-03 13:23:13,Wrong Item Delivered,152.52,Approved
RET0000179,ORD0001897,P000212,2025-04-02 13:29:45,Damaged in Transit,96.88,Approved
RET0000180,ORD0001923,P000621,2025-04-02 13:41:06,Quality/Freshness Issue,0.0,Pending
RET0000181,ORD0001924,P000874,2025-04-02 13:41:22,Wrong Item Delivered,219.89,Approved
RET0000182,ORD0001925,P001497,2025-04-03 13:41:33,Expired Product,144.46,Approved
RET0000183,ORD0001936,P001097,2025-04-02 13:45:19,Quality/Freshness Issue,53.42,Approved
RET0000184,ORD0001939,P002033,2025-04-02 13:46:28,Wrong Item Delivered,190.18,Approved
RET0000185,ORD0001948,P000074,2025-04-02 13:49:10,Quality/Freshness Issue,122.39,Approved
RET0000186,ORD0001965,P000413,2025-04-02 13:55:50,Damaged in Transit,25.13,Approved
RET0000187,ORD0001980,P002130,2025-04-02 14:01:59,Damaged in Transit,157.35,Approved
RET0000188,ORD0001998,P000459,2025-04-02 14:09:56,Damaged in Transit,0.0,Pending
RET0000189,ORD0002017,P002248,2025-04-02 14:16:39,Damaged in Transit,0.0,Pending
RET0000190,ORD0002040,P002283,2025-04-02 14:28:37,Damaged in Transit,118.2,Approved
RET0000191,ORD0002043,P002243,2025-04-02 14:29:14,Damaged in Transit,529.76,Approved
RET0000192,ORD0002056,P001826,2025-04-02 14:35:50,Wrong Item Delivered,25.23,Approved
RET0000193,ORD0002100,P000870,2025-04-03 14:56:47,Damaged in Transit,274.51,Approved
RET0000194,ORD0002104,P000838,2025-04-02 14:58:07,Damaged in Transit,31.53,Approved
RET0000195,ORD0002123,P000158,2025-04-03 15:19:14,Expired Product,297.56,Approved
RET0000196,ORD0002129,P000133,2025-04-04 15:36:46,Wrong Item Delivered,40.77,Approved
RET0000197,ORD0002129,P001624,2025-04-03 15:36:46,Damaged in Transit,0.0,Rejected
RET0000198,ORD0002131,P000359,2025-04-02 15:40:09,Damaged in Transit,86.97,Approved
RET0000199,ORD0002166,P000687,2025-04-02 16:42:49,Expired Product,0.0,Rejected
RET0000200,ORD0002168,P000484,2025-04-03 16:45:59,Damaged in Transit,218.11,Approved
RET0000201,ORD0002181,P001629,2025-04-02 17:11:14,Damaged in Transit,226.54,Approved
RET0000202,ORD0002184,P000493,2025-04-04 17:15:46,Damaged in Transit,43.94,Approved
RET0000203,ORD0002185,P000686,2025-04-02 17:15:47,Damaged in Transit,14.02,Approved
RET0000204,ORD0002218,P000393,2025-04-02 18:04:04,Damaged in Transit,46.62,Approved
RET0000205,ORD0002231,P000245,2025-04-03 18:08:52,Expired Product,0.0,Rejected
RET0000206,ORD0002233,P001471,2025-04-02 18:09:33,Quality/Freshness Issue,0.0,Rejected
RET0000207,ORD0002243,P001497,2025-04-02 18:14:05,Damaged in Transit,152.21,Approved
RET0000208,ORD0002250,P001316,2025-04-02 18:15:56,Wrong Item Delivered,0.0,Rejected
RET0000209,ORD0002280,P001084,2025-04-03 18:27:15,Expired Product,238.76,Approved
RET0000210,ORD0002310,P002010,2025-04-02 18:43:21,Damaged in Transit,183.48,Approved
RET0000211,ORD0002326,P001644,2025-04-04 18:50:17,Damaged in Transit,28.1,Approved
RET0000212,ORD0002340,P002189,2025-04-02 18:58:30,Quality/Freshness Issue,50.03,Approved
RET0000213,ORD0002357,P000327,2025-04-02 19:04:19,Expired Product,79.19,Approved
RET0000214,ORD0002357,P001550,2025-04-02 19:04:19,Damaged in Transit,31.69,Approved
RET0000215,ORD0002368,P000192,2025-04-02 19:07:41,Damaged in Transit,210.91,Approved
RET0000216,ORD0002377,P001065,2025-04-02 19:09:37,Quality/Freshness Issue,47.2,Approved
RET0000217,ORD0002380,P000637,2025-04-02 19:10:15,Expired Product,297.48,Approved
RET0000218,ORD0002390,P002148,2025-04-04 19:13:01,Quality/Freshness Issue,50.95,Approved
RET0000219,ORD0002392,P000261,2025-04-02 19:14:03,Damaged in Transit,53.35,Approved
RET0000220,ORD0002398,P000245,2025-04-04 19:16:27,Quality/Freshness Issue,97.0,Approved
RET0000221,ORD0002403,P000672,2025-04-02 19:17:00,Damaged in Transit,371.36,Approved
RET0000222,ORD0002445,P000539,2025-04-02 19:27:36,Wrong Item Delivered,147.31,Approved
RET0000223,ORD0002466,P001014,2025-04-02 19:32:30,Wrong Item Delivered,61.27,Approved
RET0000224,ORD0002469,P001740,2025-04-02 19:33:04,Wrong Item Delivered,300.85,Approved
RET0000225,ORD0002495,P000863,2025-04-03 19:43:42,Damaged in Transit,43.76,Approved
RET0000226,ORD0002513,P000004,2025-04-02 19:49:37,Quality/Freshness Issue,210.94,Approved
RET0000227,ORD0002530,P001962,2025-04-02 19:54:33,Quality/Freshness Issue,16.24,Approved
RET0000228,ORD0002557,P000903,2025-04-02 20:05:59,Quality/Freshness Issue,40.09,Approved
RET0000229,ORD0002558,P002054,2025-04-03 20:06:13,Quality/Freshness Issue,44.5,Approved
RET0000230,ORD0002571,P001067,2025-04-02 20:11:14,Quality/Freshness Issue,161.91,Approved
RET0000231,ORD0002580,P001554,2025-04-02 20:14:21,Quality/Freshness Issue,146.41,Approved
RET0000232,ORD0002594,P001927,2025-04-02 20:19:20,Damaged in Transit,12.51,Approved
RET0000233,ORD0002602,P001971,2025-04-03 20:20:46,Quality/Freshness Issue,63.78,Approved
RET0000234,ORD0002609,P001083,2025-04-02 20:23:50,Wrong Item Delivered,69.43,Approved
RET0000235,ORD0002615,P002270,2025-04-04 20:24:50,Quality/Freshness Issue,37.2,Approved
RET0000236,ORD0002619,P000530,2025-04-02 20:25:38,Damaged in Transit,26.19,Approved
RET0000237,ORD0002661,P000743,2025-04-02 20:42:11,Expired Product,24.98,Approved
RET0000238,ORD0002672,P000580,2025-04-03 20:45:08,Damaged in Transit,34.85,Approved
RET0000239,ORD0002676,P002296,2025-04-02 20:48:21,Damaged in Transit,78.95,Approved
RET0000240,ORD0002685,P001798,2025-04-02 20:51:56,Wrong Item Delivered,0.0,Rejected
RET0000241,ORD0002719,P001453,2025-04-02 21:04:11,Wrong Item Delivered,311.94,Approved
RET0000242,ORD0002731,P001366,2025-04-04 21:08:30,Quality/Freshness Issue,87.91,Approved
RET0000243,ORD0002750,P001288,2025-04-02 21:19:04,Not as Expected,96.26,Approved
RET0000244,ORD0002762,P000646,2025-04-02 21:24:17,Wrong Item Delivered,0.0,Rejected
RET0000245,ORD0002784,P001705,2025-04-03 21:31:52,Damaged in Transit,106.48,Approved
RET0000246,ORD0002786,P000902,2025-04-02 21:32:37,Wrong Item Delivered,89.07,Approved
RET0000247,ORD0002789,P000445,2025-04-03 21:32:48,Quality/Freshness Issue,254.2,Approved
RET0000248,ORD0002807,P001962,2025-04-03 21:40:46,Wrong Item Delivered,21.24,Approved
RET0000249,ORD0002831,P000988,2025-04-02 21:51:14,Expired Product,239.0,Approved
RET0000250,ORD0002832,P000384,2025-04-03 21:51:28,Damaged in Transit,0.0,Pending
RET0000251,ORD0002838,P000215,2025-04-02 21:52:51,Expired Product,0.0,Rejected
RET0000252,ORD0002840,P002123,2025-04-02 21:53:10,Quality/Freshness Issue,139.93,Approved
RET0000253,ORD0002856,P002010,2025-04-04 21:59:15,Quality/Freshness Issue,175.84,Approved
RET0000254,ORD0002857,P001764,2025-04-02 21:59:26,Quality/Freshness Issue,27.65,Approved
RET0000255,ORD0002857,P001055,2025-04-02 21:59:26,Expired Product,71.37,Approved
RET0000256,ORD0002859,P002232,2025-04-02 21:59:40,Expired Product,0.0,Rejected
RET0000257,ORD0002860,P000366,2025-04-02 21:59:53,Expired Product,19.77,Approved
RET0000258,ORD0002865,P001072,2025-04-02 22:06:08,Quality/Freshness Issue,170.48,Approved
RET0000259,ORD0002875,P000975,2025-04-03 22:17:58,Not as Expected,16.44,Approved
RET0000260,ORD0002879,P001105,2025-04-03 22:20:04,Quality/Freshness Issue,98.55,Approved
RET0000261,ORD0002881,P002308,2025-04-02 22:22:35,Quality/Freshness Issue,372.23,Approved
RET0000262,ORD0002882,P002245,2025-04-02 22:23:52,Expired Product,0.0,Rejected
RET0000263,ORD0002899,P000154,2025-04-02 22:36:38,Not as Expected,103.63,Approved
RET0000264,ORD0002916,P002211,2025-04-02 23:06:33,Not as Expected,111.07,Approved
RET0000265,ORD0002917,P000785,2025-04-03 23:07:54,Quality/Freshness Issue,93.01,Approved
RET0000266,ORD0002941,P001348,2025-04-03 23:47:59,Quality/Freshness Issue,11.75,Approved
RET0000267,ORD0002947,P001819,2025-04-04 06:01:03,Quality/Freshness Issue,0.0,Pending
RET0000268,ORD0002973,P000979,2025-04-03 06:41:25,Expired Product,183.95,Approved
RET0000269,ORD0002980,P001061,2025-04-03 07:00:57,Damaged in Transit,202.11,Approved
RET0000270,ORD0002990,P002088,2025-04-05 07:24:49,Damaged in Transit,165.97,Approved
RET0000271,ORD0003005,P001183,2025-04-03 07:46:45,Wrong Item Delivered,402.02,Approved
RET0000272,ORD0003016,P001341,2025-04-03 08:16:37,Quality/Freshness Issue,87.08,Approved
RET0000273,ORD0003018,P001693,2025-04-03 08:19:26,Quality/Freshness Issue,246.08,Approved
RET0000274,ORD0003019,P000841,2025-04-03 08:21:42,Expired Product,7.38,Approved
RET0000275,ORD0003021,P002289,2025-04-03 08:22:46,Damaged in Transit,74.08,Approved
RET0000276,ORD0003026,P000714,2025-04-03 08:31:02,Quality/Freshness Issue,72.19,Approved
RET0000277,ORD0003028,P000463,2025-04-05 08:32:30,Damaged in Transit,0.0,Rejected
RET0000278,ORD0003031,P000780,2025-04-03 08:40:26,Quality/Freshness Issue,29.1,Approved
RET0000279,ORD0003039,P000665,2025-04-03 08:54:15,Quality/Freshness Issue,46.55,Approved
RET0000280,ORD0003051,P000782,2025-04-04 09:02:58,Damaged in Transit,587.95,Approved
RET0000281,ORD0003066,P002190,2025-04-03 09:26:32,Damaged in Transit,10.76,Approved
RET0000282,ORD0003074,P001732,2025-04-04 09:33:02,Damaged in Transit,176.66,Approved
RET0000283,ORD0003081,P001085,2025-04-05 09:41:40,Quality/Freshness Issue,122.79,Approved
RET0000284,ORD0003092,P000799,2025-04-03 09:52:40,Wrong Item Delivered,0.0,Pending
RET0000285,ORD0003096,P000769,2025-04-04 09:54:35,Damaged in Transit,156.38,Approved
RET0000286,ORD0003106,P000232,2025-04-04 10:11:23,Quality/Freshness Issue,87.94,Approved
RET0000287,ORD0003114,P001682,2025-04-03 10:24:10,Damaged in Transit,30.51,Approved
RET0000288,ORD0003116,P000736,2025-04-03 10:24:41,Damaged in Transit,42.07,Approved
RET0000289,ORD0003147,P001601,2025-04-05 10:52:17,Quality/Freshness Issue,0.0,Pending
RET0000290,ORD0003160,P000706,2025-04-04 11:04:03,Expired Product,235.09,Approved
RET0000291,ORD0003162,P002197,2025-04-03 11:04:56,Wrong Item Delivered,271.0,Approved
