Product_ID,SKU,Product_Name,Brand,Brand_Tier,Category,Sub_Category,Item,Type,Variant,Flavour,Unit,Size,MRP,Selling_Price,Cost_Price,Discount_Percentage,Shelf_Life_Days,Storage_Type,GST_Percentage,Is_Perishable,Product_Status,Average_Rating,Launch_Status
P000011,AAS-CHA-GLU-10,Aashirvaad Chakki Atta Maida Gluten Free 1.0 kg,Aashirvaad,Premium,Staples & Grocery,Atta,Chakki Atta,Maida,Gluten Free,Not Applicable,kg,1.0,69,57.37,37.58,16.9,90,Ambient,0,False,Available,4.5,Regular
P000012,BIN-CHI-BAK-900,Bingo Chips Nachos Baked Magic Masala 90.0 g,Bingo,Budget,Snacks,Munchies,Chips,Nachos,Baked,Magic Masala,g,90.0,45,34.63,23.19,23.0,180,Ambient,12,False,Low Stock,4.2,Regular
P000013,AMU-FRI-CHI-4000,Amul Fries & Bites Nuggets Chicken Spicy 400.0 g,Amul,Popular,Frozen Foods,Frozen Snacks,Fries & Bites,Nuggets,Chicken,Spicy,g,400.0,165,154.89,109.19,6.1,180,Frozen,18,True,Available,4.5,Regular
P000014,BEV-COF-DEC-1000,Bevzilla Coffee Powder Instant Decaf Mocha 100.0 g,Bevzilla,Premium,Beverages,Coffee,Coffee Powder,Instant,Decaf,Mocha,g,100.0,225,207.13,142.76,7.9,365,Ambient,18,False,Available,4.6,Regular
P000015,LIZ-DET-HAN-10,Lizol Detergent Pods Hand Wash Lavender 1.0 kg,Lizol,Popular,Household Essentials,Cleaning Essentials,Detergent,Pods,Hand Wash,Lavender,kg,1.0,209,206.98,151.65,1.0,730,Ambient,18,False,Available,4.6,Regular
P000016,KUR-CHI-ROA-900,Kurkure Potato Chips Roasted Cream & Onion 90.0 g,Kurkure,Popular,Snacks,Munchies,Chips,Potato Chips,Roasted,Cream & Onion,g,90.0,29,23.31,16.08,19.6,180,Ambient,12,False,Available,4.2,Regular
P000017,NAT-CHA-SHA-50,Nature Fresh Chakki Atta Besan Sharbati 5.0 kg,Nature Fresh,Popular,Staples & Grocery,Atta,Chakki Atta,Besan,Sharbati,Not Applicable,kg,5.0,215,201.25,153.02,6.4,90,Ambient,0,False,Available,4.3,Seasonal
P000018,MCC-FRI-CHI-4000,McCain Fries & Bites French Fries Chicken Classic 400.0 g,McCain,Premium,Frozen Foods,Frozen Snacks,Fries & Bites,French Fries,Chicken,Classic,g,400.0,205,184.38,134.61,10.1,180,Frozen,18,True,Low Stock,4.9,Regular
P000019,NAT-CHA-SEL-50,Nature Fresh Chakki Atta Wheat Select 5.0 kg,Nature Fresh,Popular,Staples & Grocery,Atta,Chakki Atta,Wheat,Select,Not Applicable,kg,5.0,215,173.53,123.29,19.3,90,Ambient,0,False,Low Stock,4.5,Regular
P000020,COU-MIL-FUL-10,Country Delight Cow Milk Full Cream Plain 1.0 L,Country Delight,Premium,"Dairy, Bread & Eggs",Milk,Milk,Cow Milk,Full Cream,Plain,L,1.0,75,71.84,54.23,4.2,2,Refrigerated,0,True,Available,4.8,Regular
P000021,FOR-CHA-GLU-10,Fortune Chakki Atta Maida Gluten Free 1.0 kg,Fortune,Popular,Staples & Grocery,Atta,Chakki Atta,Maida,Gluten Free,Not Applicable,kg,1.0,65,61.51,42.68,5.4,90,Ambient,0,False,Available,4.4,Regular
P000022,HAL-CHI-BAK-900,Haldiram's Chips Nachos Baked Tomato 90.0 g,Haldiram's,Popular,Snacks,Munchies,Chips,Nachos,Baked,Tomato,g,90.0,49,45.27,30.88,7.6,180,Ambient,12,False,Available,4.3,Regular
P000023,AMU-FRI-CHI-7500,Amul Fries & Bites Cheese Balls Chicken Masala 750.0 g,Amul,Popular,Frozen Foods,Frozen Snacks,Fries & Bites,Cheese Balls,Chicken,Masala,g,750.0,305,298.85,223.42,2.0,180,Frozen,18,True,Available,4.6,Regular
P000024,LIZ-DET-HAN-10-1,Lizol Detergent Powder Hand Wash Lavender 1.0 L,Lizol,Popular,Household Essentials,Cleaning Essentials,Detergent,Powder,Hand Wash,Lavender,L,1.0,289,216.85,163.93,25.0,730,Ambient,18,False,Available,4.6,Regular
P000025,COU-MIL-TON-5000,Country Delight Cow Milk Toned Plain 500.0 ml,Country Delight,Premium,"Dairy, Bread & Eggs",Milk,Milk,Cow Milk,Toned,Plain,ml,500.0,35,34.17,24.46,2.4,2,Refrigerated,0,True,Available,4.8,Regular
P000026,AAS-CHA-SHA-150,Aashirvaad Chakki Atta Maida Sharbati 15.0 kg,Aashirvaad,Premium,Staples & Grocery,Atta,Chakki Atta,Maida,Sharbati,Not Applicable,kg,15.0,909,807.67,604.22,11.1,90,Ambient,0,False,Available,4.6,Regular
P000027,AKS-EGG-OME-120,Akshayakalpa Country Eggs Omega-3 Rich 12.0 pc,Akshayakalpa,Premium,"Dairy, Bread & Eggs",Eggs,Eggs,Country Eggs,Omega-3 Rich,Not Applicable,pc,12.0,125,113.01,86.27,9.6,21,Refrigerated,0,True,Available,4.5,Regular
P000028,MEI-CHI-WIT-2500,Meister Chicken Wings With Skin 250.0 g,Meister,Popular,Meat & Fish,Chicken,Chicken,Wings,With Skin,Not Applicable,g,250.0,139,119.8,81.53,13.8,3,Refrigerated,5,True,Available,4.2,Regular
P000029,BRU-COF-GOL-1000,Bru Coffee Powder Filter Gold Vanilla 100.0 g,Bru,Popular,Beverages,Coffee,Coffee Powder,Filter,Gold,Vanilla,g,100.0,199,181.85,144.81,8.6,365,Ambient,18,False,Available,4.4,Regular
P000030,AAS-CHA-SHA-10,Aashirvaad Chakki Atta Besan Sharbati 1.0 kg,Aashirvaad,Premium,Staples & Grocery,Atta,Chakki Atta,Besan,Sharbati,Not Applicable,kg,1.0,69,58.55,42.37,15.1,90,Ambient,0,False,Available,4.7,Regular
P000031,NES-COF-DEC-500,Nescafé Coffee Powder Instant Decaf Original 50.0 g,Nescafé,Popular,Beverages,Coffee,Coffee Powder,Instant,Decaf,Original,g,50.0,99,95.77,72.01,3.3,365,Ambient,18,False,Available,4.2,Regular
P000032,LAY-CHI-BAK-900,Lay's Chips Extruded Snacks Baked Classic Salted 90.0 g,Lay's,Popular,Snacks,Munchies,Chips,Extruded Snacks,Baked,Classic Salted,g,90.0,29,23.28,15.92,19.7,180,Ambient,12,False,Available,4.4,Regular
P000033,NIV-FAC-HYD-300,Nivea Face Serum Gel Hydrating Niacinamide 30.0 ml,Nivea,Popular,Beauty & Personal Care,Skin Care,Face Serum,Gel,Hydrating,Niacinamide,ml,30.0,649,609.71,350.03,6.1,730,Ambient,18,False,Available,4.3,Regular
P000034,HAR-DET-HAN-10,Harpic Detergent Pods Hand Wash Fresh Spring 1.0 kg,Harpic,Popular,Household Essentials,Cleaning Essentials,Detergent,Pods,Hand Wash,Fresh Spring,kg,1.0,205,196.43,151.09,4.2,730,Ambient,18,False,Available,4.5,Regular
P000035,MAM-DIA-STA-750,MamyPoko Diapers Taped Standard 75.0 pack,MamyPoko,Popular,Baby Care,Baby Diapers & Wipes,Diapers,Taped,Standard,Not Applicable,pack,75.0,3435,3135.92,2304.01,8.7,1095,Ambient,12,False,Available,4.5,New Arrival
P000036,NES-COF-GOL-1000,Nescafé Coffee Powder Filter Gold Mocha 100.0 g,Nescafé,Popular,Beverages,Coffee,Coffee Powder,Filter,Gold,Mocha,g,100.0,165,151.09,120.33,8.4,365,Ambient,18,False,Available,4.5,Regular
P000037,LAY-CHI-FRI-900,Lay's Chips Extruded Snacks Fried Cheese 90.0 g,Lay's,Popular,Snacks,Munchies,Chips,Extruded Snacks,Fried,Cheese,g,90.0,29,27.44,21.22,5.4,180,Ambient,12,False,Available,4.3,Regular
P000038,UNB-ONI-PRE-62,Unbranded Onion White Premium Grade 6.2 kg,Unbranded,Budget,Fruits & Vegetables,Fresh Vegetables,Onion,White,Premium Grade,Not Applicable,kg,6.2,185,177.4,134.63,4.1,4,Ambient,0,True,Low Stock,4.0,Regular
P000039,HAL-CHI-ROA-300,Haldiram's Chips Nachos Roasted Magic Masala 30.0 g,Haldiram's,Popular,Snacks,Munchies,Chips,Nachos,Roasted,Magic Masala,g,30.0,15,12.89,9.7,14.0,180,Ambient,12,False,Available,4.4,Regular
P000040,FOR-CHA-SHA-50,Fortune Chakki Atta Multigrain Sharbati 5.0 kg,Fortune,Popular,Staples & Grocery,Atta,Chakki Atta,Multigrain,Sharbati,Not Applicable,kg,5.0,229,228.93,158.41,0.0,90,Ambient,0,False,Available,4.2,Regular
P000041,SUR-DET-HAN-10,Surf Excel Detergent Liquid Hand Wash Lavender 1.0 L,Surf Excel,Premium,Household Essentials,Cleaning Essentials,Detergent,Liquid,Hand Wash,Lavender,L,1.0,305,273.11,183.74,10.5,730,Ambient,18,False,Available,4.6,Regular
P000042,LAY-CHI-FRI-300,Lay's Corn Chips Fried Cream & Onion 30.0 g,Lay's,Popular,Snacks,Munchies,Chips,Corn Chips,Fried,Cream & Onion,g,30.0,15,14.78,10.3,1.4,180,Ambient,12,False,Available,4.4,Regular
P000043,BIN-CHI-ROA-1500,Bingo Corn Chips Roasted Cheese 150.0 g,Bingo,Budget,Snacks,Munchies,Chips,Corn Chips,Roasted,Cheese,g,150.0,69,55.71,41.38,19.3,180,Ambient,12,False,Available,4.2,Regular
P000044,EVE-BAT-BUT-20,Eveready Batteries Zinc Carbon Button Cell 2.0 pack,Eveready,Budget,Household Essentials,Electronics,Batteries,Zinc Carbon,Button Cell,Not Applicable,pack,2.0,29,27.32,20.95,5.8,3650,Ambient,18,False,Available,4.2,Regular
P000045,NES-COF-GOL-500,Nescafé Coffee Powder Filter Gold Mocha 50.0 g,Nescafé,Popular,Beverages,Coffee,Coffee Powder,Filter,Gold,Mocha,g,50.0,135,129.27,97.7,4.2,365,Ambient,18,False,Available,4.5,New Arrival
P000046,JOC-BAS-CAN-10,Jockey Basic Wear Wallet Canvas 1.0 pc,Jockey,Premium,Fashion & Lifestyle,Apparel & Accessories,Basic Wear,Wallet,Canvas,Not Applicable,pc,1.0,435,393.96,258.12,9.4,3650,Ambient,12,False,Available,4.8,Regular
P000047,KUR-CHI-FRI-300,Kurkure Corn Chips Fried Classic Salted 30.0 g,Kurkure,Popular,Snacks,Munchies,Chips,Corn Chips,Fried,Classic Salted,g,30.0,16,14.43,11.52,9.8,180,Ambient,12,False,Out Of Stock,4.5,Seasonal
P000048,NAT-CHA-GLU-10,Nature Fresh Chakki Atta Wheat Gluten Free 1.0 kg,Nature Fresh,Popular,Staples & Grocery,Atta,Chakki Atta,Wheat,Gluten Free,Not Applicable,kg,1.0,49,46.45,33.17,5.2,90,Ambient,0,False,Available,4.4,Regular
P000049,PRI-CHI-BAK-1500,Pringles Chips Extruded Snacks Baked Magic Masala 150.0 g,Pringles,Premium,Snacks,Munchies,Chips,Extruded Snacks,Baked,Magic Masala,g,150.0,89,84.17,64.68,5.4,180,Ambient,12,False,Available,4.8,Regular
P000050,BIN-CHI-FRI-1500,Bingo Chips Extruded Snacks Fried Tomato 150.0 g,Bingo,Budget,Snacks,Munchies,Chips,Extruded Snacks,Fried,Tomato,g,150.0,99,93.0,61.77,6.1,180,Ambient,12,False,Available,4.2,Regular
P000051,MCC-FRI-CHI-7500,McCain Fries & Bites Aloo Tikki Chicken Classic 750.0 g,McCain,Premium,Frozen Foods,Frozen Snacks,Fries & Bites,Aloo Tikki,Chicken,Classic,g,750.0,239,184.6,130.6,22.8,180,Frozen,18,True,Available,4.6,Regular
P000052,AAS-CHA-GLU-150,Aashirvaad Chakki Atta Besan Gluten Free 15.0 kg,Aashirvaad,Premium,Staples & Grocery,Atta,Chakki Atta,Besan,Gluten Free,Not Applicable,kg,15.0,655,600.28,429.14,8.4,90,Ambient,0,False,Out Of Stock,4.5,Regular
P000053,HAR-DET-TOP-10,Harpic Detergent Powder Top Load Lavender 1.0 kg,Harpic,Popular,Household Essentials,Cleaning Essentials,Detergent,Powder,Top Load,Lavender,kg,1.0,215,172.21,123.59,19.9,730,Ambient,18,False,Available,4.5,Regular
P000054,MEI-CHI-WIT-10,Meister Chicken Drumsticks With Skin 1.0 kg,Meister,Popular,Meat & Fish,Chicken,Chicken,Drumsticks,With Skin,Not Applicable,kg,1.0,299,249.02,189.85,16.7,3,Refrigerated,5,True,Available,4.3,Regular
P000055,BRU-COF-GOL-1000-1,Bru Coffee Powder Instant Gold Vanilla 100.0 g,Bru,Popular,Beverages,Coffee,Coffee Powder,Instant,Gold,Vanilla,g,100.0,265,213.28,159.2,19.5,365,Ambient,18,False,Available,4.5,Regular
P000056,LAY-CHI-ROA-900,Lay's Chips Nachos Roasted Cheese 90.0 g,Lay's,Popular,Snacks,Munchies,Chips,Nachos,Roasted,Cheese,g,90.0,35,30.5,24.08,12.9,180,Ambient,12,False,Available,4.3,Regular
P000057,VIM-DET-HAN-10,Vim Detergent Powder Hand Wash Fresh Spring 1.0 L,Vim,Popular,Household Essentials,Cleaning Essentials,Detergent,Powder,Hand Wash,Fresh Spring,L,1.0,259,254.75,178.6,1.6,730,Ambient,18,False,Available,4.5,Regular
P000058,LAY-CHI-ROA-900-1,Lay's Chips Extruded Snacks Roasted Cheese 90.0 g,Lay's,Popular,Snacks,Munchies,Chips,Extruded Snacks,Roasted,Cheese,g,90.0,29,28.18,19.13,2.8,180,Ambient,12,False,Available,4.6,Regular
P000059,AAS-CHA-SHA-100,Aashirvaad Chakki Atta Wheat Sharbati 10.0 kg,Aashirvaad,Premium,Staples & Grocery,Atta,Chakki Atta,Wheat,Sharbati,Not Applicable,kg,10.0,475,412.62,281.47,13.1,90,Ambient,0,False,Available,4.8,Regular
P000060,HAR-DET-TOP-10-1,Harpic Detergent Pods Top Load Fresh Spring 1.0 L,Harpic,Popular,Household Essentials,Cleaning Essentials,Detergent,Pods,Top Load,Fresh Spring,L,1.0,289,270.55,201.85,6.4,730,Ambient,18,False,Low Stock,4.5,Regular
P000061,BIN-CHI-ROA-1500-1,Bingo Chips Extruded Snacks Roasted Classic Salted 150.0 g,Bingo,Budget,Snacks,Munchies,Chips,Extruded Snacks,Roasted,Classic Salted,g,150.0,69,63.89,46.84,7.4,180,Ambient,12,False,Available,4.2,New Arrival
P000062,BIN-CHI-BAK-300,Bingo Chips Nachos Baked Magic Masala 30.0 g,Bingo,Budget,Snacks,Munchies,Chips,Nachos,Baked,Magic Masala,g,30.0,15,11.76,8.27,21.6,180,Ambient,12,False,Available,3.8,Regular
P000063,DOT-FAC-ANT-300,Dot & Key Face Serum Gel Anti-Acne Niacinamide 30.0 ml,Dot & Key,Premium,Beauty & Personal Care,Skin Care,Face Serum,Gel,Anti-Acne,Niacinamide,ml,30.0,509,416.03,217.06,18.3,730,Ambient,18,False,Available,4.6,Regular
P000064,MIN-FAC-HYD-300,Minimalist Face Serum Liquid Serum Hydrating Salicylic Acid 30.0 ml,Minimalist,Premium,Beauty & Personal Care,Skin Care,Face Serum,Liquid Serum,Hydrating,Salicylic Acid,ml,30.0,689,632.96,350.99,8.1,730,Ambient,18,False,Available,4.9,Regular
P000065,DOT-FAC-HYD-500,Dot & Key Face Serum Gel Hydrating Salicylic Acid 50.0 ml,Dot & Key,Premium,Beauty & Personal Care,Skin Care,Face Serum,Gel,Hydrating,Salicylic Acid,ml,50.0,939,662.24,355.94,29.5,730,Ambient,18,False,Available,4.7,Regular
P000066,NAT-CHA-SHA-200,Nature Fresh Chakki Atta Wheat Sharbati 20.0 kg,Nature Fresh,Popular,Staples & Grocery,Atta,Chakki Atta,Wheat,Sharbati,Not Applicable,kg,20.0,1289,1210.84,962.01,6.1,90,Ambient,0,False,Available,4.3,Regular
P000067,MOO-PAI-AYU-500,Moov Pain Reliever Tablet Ayurvedic 50.0 g,Moov,Popular,Pharmacy,Pain Relief,Pain Reliever,Tablet,Ayurvedic,Not Applicable,g,50.0,239,171.85,129.22,28.1,730,Ambient,12,False,Available,4.3,Regular
P000068,NES-COF-CLA-1000,Nescafé Coffee Powder Filter Classic Hazelnut 100.0 g,Nescafé,Popular,Beverages,Coffee,Coffee Powder,Filter,Classic,Hazelnut,g,100.0,229,218.79,155.68,4.5,365,Ambient,18,False,Available,4.5,Regular
P000069,SUR-DET-HAN-10-1,Surf Excel Detergent Powder Hand Wash Lavender 1.0 L,Surf Excel,Premium,Household Essentials,Cleaning Essentials,Detergent,Powder,Hand Wash,Lavender,L,1.0,199,169.13,133.01,15.0,730,Ambient,18,False,Available,4.6,Regular
P000070,SUR-DET-FRO-10,Surf Excel Detergent Pods Front Load Lavender 1.0 kg,Surf Excel,Premium,Household Essentials,Cleaning Essentials,Detergent,Pods,Front Load,Lavender,kg,1.0,109,95.5,62.59,12.4,730,Ambient,18,False,Available,4.9,Regular
P000071,UNB-TOM-REG-5000,Unbranded Tomato Cherry Regular 500.0 g,Unbranded,Budget,Fruits & Vegetables,Fresh Vegetables,Tomato,Cherry,Regular,Not Applicable,g,500.0,29,26.45,22.11,8.8,4,Ambient,0,True,Available,3.9,Regular
P000072,DUR-BAT-BUT-20,Duracell Batteries Rechargeable Button Cell 2.0 pack,Duracell,Premium,Household Essentials,Electronics,Batteries,Rechargeable,Button Cell,Not Applicable,pack,2.0,65,59.91,40.09,7.8,3650,Ambient,18,False,Available,4.6,Regular
P000073,WHI-PET-ADU-12,Whiskas Pet Food Treats Adult Meat 1.2 kg,Whiskas,Popular,Pet Care,Dog & Cat Food,Pet Food,Treats,Adult,Meat,kg,1.2,389,351.28,278.89,9.7,540,Ambient,18,False,Available,4.5,Regular
P000074,NES-COF-DEC-1000,Nescafé Coffee Powder Filter Decaf Vanilla 100.0 g,Nescafé,Popular,Beverages,Coffee,Coffee Powder,Filter,Decaf,Vanilla,g,100.0,195,170.35,130.3,12.6,365,Ambient,18,False,Available,4.5,Regular
P000075,AAS-CHA-GLU-10-1,Aashirvaad Chakki Atta Wheat Gluten Free 1.0 kg,Aashirvaad,Premium,Staples & Grocery,Atta,Chakki Atta,Wheat,Gluten Free,Not Applicable,kg,1.0,59,56.67,42.04,4.0,90,Ambient,0,False,Available,4.9,Regular
P000076,THE-FAC-BRI-300,The Derma Co Face Serum Gel Brightening Niacinamide 30.0 ml,The Derma Co,Premium,Beauty & Personal Care,Skin Care,Face Serum,Gel,Brightening,Niacinamide,ml,30.0,749,710.06,404.94,5.2,730,Ambient,18,False,Out Of Stock,4.5,Regular
P000077,LAY-CHI-BAK-1500,Lay's Chips Extruded Snacks Baked Tomato 150.0 g,Lay's,Popular,Snacks,Munchies,Chips,Extruded Snacks,Baked,Tomato,g,150.0,119,83.89,63.67,29.5,180,Ambient,12,False,Available,4.5,Regular
P000078,BIN-CHI-BAK-300-1,Bingo Corn Chips Baked Classic Salted 30.0 g,Bingo,Budget,Snacks,Munchies,Chips,Corn Chips,Baked,Classic Salted,g,30.0,16,14.74,10.96,7.9,180,Ambient,12,False,Available,4.0,Regular
P000079,UNB-ONI-PRE-50,Unbranded Onion Sambhar Premium Grade 5.0 kg,Unbranded,Budget,Fruits & Vegetables,Fresh Vegetables,Onion,Sambhar,Premium Grade,Not Applicable,kg,5.0,219,209.16,176.16,4.5,4,Ambient,0,True,Available,3.9,Regular
P000080,KUR-CHI-FRI-900,Kurkure Corn Chips Fried Classic Salted 90.0 g,Kurkure,Popular,Snacks,Munchies,Chips,Corn Chips,Fried,Classic Salted,g,90.0,49,48.45,35.81,1.1,180,Ambient,12,False,Available,4.5,Regular
P000081,EVE-BAT-AAA-20,Eveready Batteries Rechargeable AAA 2.0 pack,Eveready,Budget,Household Essentials,Electronics,Batteries,Rechargeable,AAA,Not Applicable,pack,2.0,49,33.37,22.26,31.9,3650,Ambient,18,False,Low Stock,3.8,New Arrival
P000082,SYS-BAT-AA-40,Syska Batteries Zinc Carbon AA 4.0 pack,Syska,Popular,Household Essentials,Electronics,Batteries,Zinc Carbon,AA,Not Applicable,pack,4.0,165,153.12,117.21,7.2,3650,Ambient,18,False,Available,4.4,New Arrival
P000083,AKS-EGG-FRE-300,Akshayakalpa Table Eggs Free Range 30.0 pc,Akshayakalpa,Premium,"Dairy, Bread & Eggs",Eggs,Eggs,Table Eggs,Free Range,Not Applicable,pc,30.0,239,225.25,174.88,5.8,21,Refrigerated,0,True,Low Stock,4.7,Seasonal
P000084,NAN-MIL-SKI-5000,Nandini A2 Milk Skimmed Plain 500.0 ml,Nandini,Budget,"Dairy, Bread & Eggs",Milk,Milk,A2 Milk,Skimmed,Plain,ml,500.0,39,27.33,20.16,29.9,2,Refrigerated,0,True,Available,4.0,Regular
P000085,NAN-MIL-SKI-10,Nandini A2 Milk Skimmed Plain 1.0 L,Nandini,Budget,"Dairy, Bread & Eggs",Milk,Milk,A2 Milk,Skimmed,Plain,L,1.0,49,34.24,24.93,30.1,2,Refrigerated,0,True,Available,4.1,Regular
P000086,BAK-BRE-FRU-4000,Baker's Loaf Bread Loaf Brown Fruit 400.0 g,Baker's Loaf,Popular,"Dairy, Bread & Eggs",Bread,Bread Loaf,Brown,Fruit,Not Applicable,g,400.0,55,47.24,36.07,14.1,5,Ambient,0,False,Low Stock,4.3,Regular
P000087,BRU-COF-CLA-500,Bru Coffee Powder Filter Classic Mocha 50.0 g,Bru,Popular,Beverages,Coffee,Coffee Powder,Filter,Classic,Mocha,g,50.0,119,105.5,76.29,11.3,365,Ambient,18,False,Available,4.6,Regular
P000088,BEN-COL-STA-1000,Benadryl Cold Relief Lozenges Standard Honey 100.0 ml,Benadryl,Popular,Pharmacy,Cold & Flu,Cold Relief,Lozenges,Standard,Honey,ml,100.0,95,73.63,52.4,22.5,730,Ambient,12,False,Available,4.4,Regular
P000089,FAR-ONI-REG-30,Farm Fresh Onion White Regular 3.0 kg,Farm Fresh,Popular,Fruits & Vegetables,Fresh Vegetables,Onion,White,Regular,Not Applicable,kg,3.0,125,81.83,64.34,34.5,4,Ambient,0,True,Available,4.6,Regular
P000090,PAM-DIA-ALO-720,Pampers Diapers Taped Aloe Vera Enriched 72.0 pack,Pampers,Premium,Baby Care,Baby Diapers & Wipes,Diapers,Taped,Aloe Vera Enriched,Not Applicable,pack,72.0,1079,882.48,580.59,18.2,1095,Ambient,12,False,Available,4.6,Regular
P000091,ABH-EGG-OME-120,Abhi Eggs Country Eggs Omega-3 Rich 12.0 pc,Abhi Eggs,Budget,"Dairy, Bread & Eggs",Eggs,Eggs,Country Eggs,Omega-3 Rich,Not Applicable,pc,12.0,125,106.61,77.59,14.7,21,Refrigerated,0,True,Available,3.9,Regular
P000092,NAT-CHA-SHA-100,Nature Fresh Chakki Atta Besan Sharbati 10.0 kg,Nature Fresh,Popular,Staples & Grocery,Atta,Chakki Atta,Besan,Sharbati,Not Applicable,kg,10.0,559,435.23,310.15,22.1,90,Ambient,0,False,Available,4.5,Regular
P000093,KUR-CHI-BAK-1500,Kurkure Chips Nachos Baked Cream & Onion 150.0 g,Kurkure,Popular,Snacks,Munchies,Chips,Nachos,Baked,Cream & Onion,g,150.0,95,80.65,62.49,15.1,180,Ambient,12,False,Available,4.5,Regular
P000094,KUR-CHI-BAK-300,Kurkure Chips Nachos Baked Classic Salted 30.0 g,Kurkure,Popular,Snacks,Munchies,Chips,Nachos,Baked,Classic Salted,g,30.0,19,15.97,12.61,16.0,180,Ambient,12,False,Available,4.4,Regular
P000095,FOR-CHA-GLU-50,Fortune Chakki Atta Maida Gluten Free 5.0 kg,Fortune,Popular,Staples & Grocery,Atta,Chakki Atta,Maida,Gluten Free,Not Applicable,kg,5.0,229,217.36,156.85,5.1,90,Ambient,0,False,Available,4.6,Regular
P000096,EVE-BAT-BUT-40,Eveready Batteries Alkaline Button Cell 4.0 pack,Eveready,Budget,Household Essentials,Electronics,Batteries,Alkaline,Button Cell,Not Applicable,pack,4.0,139,133.26,94.5,4.1,3650,Ambient,18,False,Available,3.9,Regular
P000097,THE-BRE-GAR-4000,The Health Factory Bread Loaf Multigrain Garlic 400.0 g,The Health Factory,Premium,"Dairy, Bread & Eggs",Bread,Bread Loaf,Multigrain,Garlic,Not Applicable,g,400.0,59,54.28,36.28,8.0,5,Ambient,0,False,Available,4.7,Regular
P000098,AMU-FRI-VEG-7500,Amul Fries & Bites Cheese Balls Veg Masala 750.0 g,Amul,Popular,Frozen Foods,Frozen Snacks,Fries & Bites,Cheese Balls,Veg,Masala,g,750.0,339,337.42,236.56,0.5,180,Frozen,18,True,Available,4.6,Regular
P000099,UNB-TOM-ORG-15,Unbranded Tomato Local Organic 1.5 kg,Unbranded,Budget,Fruits & Vegetables,Fresh Vegetables,Tomato,Local,Organic,Not Applicable,kg,1.5,79,79.0,59.74,0.0,4,Ambient,0,True,Available,4.1,Regular
