Inventory_ID,Store_ID,Product_ID,Current_Stock,Reorder_Level,Last_Restock_Date,Next_Restock_Date,Batch_ID,Expiry_Date,Inventory_Status
INV000039,DS001,P000284,0,60,2025-03-09,2025-04-03,B2503090039,Not Applicable,Out of Stock
INV000040,DS001,P001141,12,10,2025-03-04,2025-03-17,B2503040040,Not Applicable,In Stock
INV000041,DS001,P000080,204,75,2025-03-25,2025-03-30,B2503250041,Not Applicable,In Stock
INV000042,DS001,P002106,113,45,2025-03-13,2025-03-17,B2503130042,2025-03-16,In Stock
INV000043,DS001,P000601,16,10,2025-03-28,2025-04-11,B2503280043,Not Applicable,In Stock
INV000044,DS001,P001527,93,75,2025-03-10,2025-03-15,B2503100044,Not Applicable,In Stock
INV000045,DS001,P000724,0,36,2025-03-19,2025-04-03,B2503190045,Not Applicable,Out of Stock
INV000046,DS001,P001199,20,8,2025-03-25,2025-04-05,B2503250046,Not Applicable,In Stock
INV000047,DS001,P001261,126,75,2025-03-23,2025-03-27,B2503230047,Not Applicable,In Stock
INV000048,DS001,P000431,193,75,2025-03-06,2025-03-11,B2503060048,Not Applicable,In Stock
INV000049,DS001,P001792,218,75,2025-03-05,2025-03-08,B2503050049,Not Applicable,In Stock
INV000050,DS001,P002175,30,15,2025-03-26,2025-04-03,B2503260050,2025-03-28,In Stock
INV000051,DS001,P002073,13,10,2025-03-26,2025-04-09,B2503260051,Not Applicable,In Stock
INV000052,DS001,P001380,88,36,2025-03-22,2025-03-26,B2503220052,2025-03-23,In Stock
INV000053,DS001,P002135,114,36,2025-03-09,2025-03-13,B2503090053,Not Applicable,In Stock
INV000054,DS001,P000206,64,60,2025-03-13,2025-03-18,B2503130054,Not Applicable,In Stock
INV000055,DS001,P000456,27,25,2025-03-30,2025-04-07,B2503300055,Not Applicable,In Stock
INV000056,DS001,P000106,50,36,2025-03-30,2025-04-04,B2503300056,Not Applicable,In Stock
INV000057,DS001,P000755,48,10,2025-03-29,2025-04-09,B2503290057,Not Applicable,In Stock
INV000058,DS001,P000899,46,20,2025-03-13,2025-03-18,B2503130058,Not Applicable,In Stock
INV000059,DS001,P000630,199,60,2025-03-13,2025-03-18,B2503130059,Not Applicable,In Stock
INV000060,DS001,P001916,30,10,2025-03-24,2025-04-05,B2503240060,Not Applicable,In Stock
INV000061,DS001,P000826,126,60,2025-03-17,2025-03-21,B2503170061,Not Applicable,In Stock
INV000062,DS001,P000651,21,25,2025-03-17,2025-03-22,B2503170062,Not Applicable,Low Stock
INV000063,DS001,P001251,53,25,2025-03-27,2025-04-03,B2503270063,Not Applicable,In Stock
INV000064,DS001,P000328,67,25,2025-03-22,2025-03-28,B2503220064,Not Applicable,In Stock
INV000065,DS001,P001855,39,20,2025-03-12,2025-03-17,B2503120065,2025-08-03,In Stock
INV000066,DS001,P000173,43,36,2025-03-03,2025-03-06,B2503030066,2025-03-04,In Stock
INV000067,DS001,P002283,89,60,2025-03-23,2025-03-27,B2503230067,Not Applicable,In Stock
INV000068,DS001,P001786,132,75,2025-03-10,2025-03-15,B2503100068,Not Applicable,In Stock
INV000069,DS001,P000462,52,25,2025-03-03,2025-03-08,B2503030069,Not Applicable,In Stock
INV000070,DS001,P000014,120,60,2025-03-30,2025-04-02,B2503300070,Not Applicable,In Stock
INV000071,DS001,P001886,36,20,2025-03-26,2025-04-03,B2503260071,2025-08-07,In Stock
INV000072,DS001,P001631,0,75,2025-03-29,2025-04-03,B2503290072,Not Applicable,Out of Stock
INV000073,DS001,P001683,174,75,2025-03-13,2025-03-18,B2503130073,Not Applicable,In Stock
INV000074,DS001,P001783,39,20,2025-03-20,2025-03-25,B2503200074,2025-08-29,In Stock
INV000075,DS001,P000172,21,15,2025-03-20,2025-03-28,B2503200075,2025-03-22,In Stock
INV000076,DS001,P000830,60,36,2025-03-04,2025-03-07,B2503040076,2025-03-05,In Stock
INV000077,DS001,P000270,11,10,2025-03-26,2025-04-08,B2503260077,Not Applicable,In Stock
INV000078,DS001,P001997,115,36,2025-03-04,2025-03-09,B2503040078,2025-03-05,In Stock
INV000079,DS001,P001440,77,60,2025-03-19,2025-03-22,B2503190079,Not Applicable,In Stock
INV000080,DS001,P000768,197,75,2025-03-20,2025-03-24,B2503200080,Not Applicable,In Stock
INV000081,DS001,P000148,48,25,2025-03-31,2025-04-06,B2503310081,Not Applicable,In Stock
INV000082,DS001,P000722,38,36,2025-03-07,2025-03-11,B2503070082,2025-03-20,In Stock
INV000083,DS001,P001684,187,60,2025-03-21,2025-03-24,B2503210083,Not Applicable,In Stock
INV000084,DS001,P001472,125,75,2025-03-13,2025-03-17,B2503130084,Not Applicable,In Stock
INV000085,DS001,P002055,74,36,2025-03-08,2025-03-12,B2503080085,Not Applicable,In Stock
INV000086,DS001,P001090,109,75,2025-03-19,2025-03-24,B2503190086,Not Applicable,In Stock
INV000087,DS001,P000279,37,10,2025-03-31,2025-04-11,B2503310087,Not Applicable,In Stock
INV000088,DS001,P001647,31,10,2025-03-12,2025-03-25,B2503120088,Not Applicable,In Stock
INV000089,DS001,P001758,29,15,2025-03-15,2025-03-22,B2503150089,Not Applicable,In Stock
INV000090,DS001,P001295,155,75,2025-03-14,2025-03-17,B2503140090,Not Applicable,In Stock
INV000091,DS001,P001782,39,15,2025-03-10,2025-03-16,B2503100091,2025-03-12,In Stock
INV000092,DS001,P001138,15,20,2025-03-22,2025-03-29,B2503220092,Not Applicable,Low Stock
INV000093,DS001,P001205,25,8,2025-03-17,2025-04-01,B2503170093,Not Applicable,In Stock
INV000094,DS001,P000986,80,25,2025-03-06,2025-03-12,B2503060094,Not Applicable,In Stock
INV000095,DS001,P000060,57,20,2025-03-29,2025-04-04,B2503290095,Not Applicable,In Stock
INV000096,DS001,P000250,22,15,2025-03-27,2025-04-01,B2503270096,Not Applicable,In Stock
INV000097,DS001,P000073,49,15,2025-03-04,2025-03-09,B2503040097,Not Applicable,In Stock
INV000098,DS001,P001469,103,36,2025-03-25,2025-03-30,B2503250098,Not Applicable,In Stock
INV000099,DS001,P000730,142,75,2025-03-27,2025-04-01,B2503270099,Not Applicable,In Stock
INV000100,DS001,P001172,107,75,2025-03-07,2025-03-11,B2503070100,Not Applicable,In Stock
INV000101,DS001,P002102,43,10,2025-03-17,2025-03-25,B2503170101,Not Applicable,In Stock
INV000102,DS001,P000581,30,20,2025-03-17,2025-03-23,B2503170102,Not Applicable,In Stock
INV000103,DS001,P000948,45,10,2025-03-12,2025-03-25,B2503120103,Not Applicable,In Stock
INV000104,DS001,P001746,54,15,2025-03-05,2025-03-13,B2503050104,2025-03-07,In Stock
INV000105,DS001,P000533,40,10,2025-03-17,2025-03-29,B2503170105,Not Applicable,In Stock
INV000106,DS001,P000179,65,36,2025-03-07,2025-03-12,B2503070106,Not Applicable,In Stock
INV000107,DS001,P000673,162,60,2025-03-29,2025-04-03,B2503290107,Not Applicable,In Stock
INV000108,DS001,P000376,161,75,2025-03-03,2025-03-08,B2503030108,Not Applicable,In Stock
INV000109,DS001,P002152,148,60,2025-03-09,2025-03-12,B2503090109,Not Applicable,In Stock
INV000110,DS001,P001463,0,75,2025-03-18,2025-04-02,B2503180110,Not Applicable,Out of Stock
INV000111,DS001,P002017,33,20,2025-03-05,2025-03-13,B2503050111,2025-07-04,In Stock
INV000112,DS001,P001858,17,20,2025-03-04,2025-03-12,B2503040112,Not Applicable,Low Stock
INV000113,DS001,P000434,68,36,2025-03-07,2025-03-11,B2503070113,Not Applicable,In Stock
INV000114,DS001,P002068,36,15,2025-03-14,2025-03-20,B2503140114,Not Applicable,In Stock
INV000115,DS001,P001243,82,25,2025-03-31,2025-04-08,B2503310115,Not Applicable,In Stock
INV000116,DS001,P001867,71,25,2025-03-08,2025-03-14,B2503080116,Not Applicable,In Stock
INV000117,DS001,P002076,186,60,2025-03-31,2025-04-04,B2503310117,Not Applicable,In Stock
INV000118,DS001,P000739,15,15,2025-03-11,2025-03-19,B2503110118,Not Applicable,Low Stock
INV000119,DS001,P000256,92,75,2025-03-23,2025-03-27,B2503230119,Not Applicable,In Stock
INV000120,DS001,P000531,31,10,2025-03-07,2025-03-21,B2503070120,Not Applicable,In Stock
INV000121,DS001,P000985,36,10,2025-03-23,2025-04-01,B2503230121,Not Applicable,In Stock
INV000122,DS001,P001892,46,45,2025-03-20,2025-03-23,B2503200122,2025-03-23,In Stock
INV000123,DS001,P001992,33,36,2025-03-24,2025-03-27,B2503240123,2025-03-25,Low Stock
INV000124,DS001,P000017,80,25,2025-03-10,2025-03-15,B2503100124,Not Applicable,In Stock
INV000125,DS001,P001177,47,20,2025-03-07,2025-03-14,B2503070125,Not Applicable,In Stock
INV000126,DS001,P000963,17,10,2025-03-07,2025-03-17,B2503070126,Not Applicable,In Stock
INV000127,DS001,P000517,86,75,2025-03-02,2025-03-06,B2503020127,Not Applicable,In Stock
INV000128,DS001,P000785,39,15,2025-03-19,2025-03-25,B2503190128,2025-03-20,In Stock
INV000129,DS001,P002183,21,15,2025-03-09,2025-03-16,B2503090129,2025-03-11,In Stock
INV000130,DS001,P000750,194,60,2025-03-06,2025-03-09,B2503060130,Not Applicable,In Stock
INV000131,DS001,P001196,38,15,2025-03-29,2025-04-05,B2503290131,2025-03-30,In Stock
INV000132,DS001,P001623,160,60,2025-03-20,2025-03-25,B2503200132,Not Applicable,In Stock
INV000133,DS001,P000842,39,25,2025-03-18,2025-03-24,B2503180133,Not Applicable,In Stock
INV000134,DS001,P002249,27,10,2025-03-12,2025-03-27,B2503120134,Not Applicable,In Stock
INV000135,DS001,P002229,95,25,2025-03-23,2025-03-30,B2503230135,Not Applicable,In Stock
INV000136,DS001,P000586,102,75,2025-03-23,2025-03-27,B2503230136,Not Applicable,In Stock
INV000137,DS001,P001146,98,25,2025-03-10,2025-03-18,B2503100137,Not Applicable,In Stock
INV000138,DS001,P000698,56,20,2025-03-26,2025-04-03,B2503260138,Not Applicable,In Stock
INV000139,DS001,P000661,31,10,2025-03-23,2025-04-04,B2503230139,Not Applicable,In Stock
INV000140,DS001,P000086,54,36,2025-03-29,2025-04-01,B2503290140,Not Applicable,In Stock
INV000141,DS001,P001407,30,15,2025-03-09,2025-03-17,B2503090141,2025-03-11,In Stock
INV000142,DS001,P001159,31,25,2025-03-22,2025-03-28,B2503220142,Not Applicable,In Stock
INV000143,DS001,P000120,249,75,2025-03-13,2025-03-17,B2503130143,Not Applicable,In Stock
INV000144,DS001,P000646,188,75,2025-03-08,2025-03-13,B2503080144,Not Applicable,In Stock
INV000145,DS001,P002104,74,45,2025-03-22,2025-03-26,B2503220145,2025-03-24,In Stock
INV000146,DS001,P000557,217,75,2025-03-07,2025-03-12,B2503070146,Not Applicable,In Stock
INV000147,DS001,P000338,101,45,2025-03-23,2025-03-28,B2503230147,2025-03-26,In Stock
INV000148,DS001,P001127,32,25,2025-03-05,2025-03-11,B2503050148,Not Applicable,In Stock
INV000149,DS001,P002280,58,25,2025-03-31,2025-04-06,B2503310149,Not Applicable,In Stock
INV000150,DS001,P000564,221,75,2025-03-22,2025-03-27,B2503220150,Not Applicable,In Stock
INV000151,DS001,P001550,92,36,2025-03-28,2025-03-31,B2503280151,Not Applicable,In Stock
INV000152,DS001,P001760,48,20,2025-03-21,2025-03-27,B2503210152,2025-09-05,In Stock
INV000153,DS001,P000553,34,25,2025-03-05,2025-03-10,B2503050153,Not Applicable,In Stock
INV000154,DS001,P001681,100,25,2025-03-10,2025-03-15,B2503100154,Not Applicable,In Stock
INV000155,DS001,P000851,53,20,2025-03-29,2025-04-04,B2503290155,Not Applicable,In Stock
INV000156,DS001,P001460,19,8,2025-03-07,2025-03-21,B2503070156,Not Applicable,In Stock
INV000157,DS001,P001235,150,45,2025-03-13,2025-03-17,B2503130157,2025-03-15,In Stock
INV000158,DS001,P000210,105,75,2025-03-07,2025-03-10,B2503070158,Not Applicable,In Stock
INV000159,DS001,P001932,70,60,2025-03-26,2025-03-29,B2503260159,Not Applicable,In Stock
INV000160,DS001,P000745,15,20,2025-03-18,2025-03-26,B2503180160,Not Applicable,Low Stock
INV000161,DS001,P000096,19,20,2025-03-24,2025-03-31,B2503240161,Not Applicable,Low Stock
INV000162,DS001,P001363,98,45,2025-03-29,2025-04-03,B2503290162,2025-03-31,In Stock
INV000163,DS001,P001563,230,75,2025-03-10,2025-03-13,B2503100163,Not Applicable,In Stock
INV000164,DS001,P000039,245,75,2025-03-27,2025-03-31,B2503270164,Not Applicable,In Stock
INV000165,DS001,P001181,0,45,2025-03-26,2025-04-02,B2503260165,Not Applicable,Out of Stock
INV000166,DS001,P000527,56,25,2025-03-17,2025-03-22,B2503170166,Not Applicable,In Stock
INV000167,DS001,P001489,183,75,2025-03-23,2025-03-28,B2503230167,Not Applicable,In Stock
INV000168,DS001,P000405,60,60,2025-03-03,2025-03-07,B2503030168,Not Applicable,Low Stock
INV000169,DS001,P001595,23,25,2025-03-29,2025-04-04,B2503290169,Not Applicable,Low Stock
INV000170,DS001,P000894,46,10,2025-03-13,2025-03-21,B2503130170,Not Applicable,In Stock
INV000171,DS001,P002169,27,10,2025-03-13,2025-03-21,B2503130171,Not Applicable,In Stock
INV000172,DS001,P000320,43,10,2025-03-11,2025-03-26,B2503110172,Not Applicable,In Stock
INV000173,DS001,P000792,229,75,2025-03-18,2025-03-23,B2503180173,Not Applicable,In Stock
INV000174,DS001,P000264,80,25,2025-03-20,2025-03-28,B2503200174,Not Applicable,In Stock
INV000175,DS001,P002141,74,20,2025-03-26,2025-04-02,B2503260175,2025-07-27,In Stock
INV000176,DS001,P002031,66,20,2025-03-05,2025-03-10,B2503050176,Not Applicable,In Stock
INV000177,DS001,P000599,30,10,2025-03-28,2025-04-11,B2503280177,Not Applicable,In Stock
INV000178,DS001,P001521,50,60,2025-03-10,2025-03-15,B2503100178,Not Applicable,Low Stock
INV000179,DS001,P001890,86,25,2025-03-20,2025-03-28,B2503200179,Not Applicable,In Stock
INV000180,DS001,P001282,23,10,2025-03-23,2025-04-02,B2503230180,Not Applicable,In Stock
INV000181,DS001,P001221,82,25,2025-03-28,2025-04-02,B2503280181,Not Applicable,In Stock
INV000182,DS001,P000563,50,25,2025-03-09,2025-03-15,B2503090182,Not Applicable,In Stock
INV000183,DS001,P000216,0,75,2025-03-18,2025-04-01,B2503180183,Not Applicable,Out of Stock
INV000184,DS001,P002078,27,20,2025-03-17,2025-03-22,B2503170184,2025-08-06,In Stock
INV000185,DS001,P002085,94,45,2025-03-15,2025-03-20,B2503150185,Not Applicable,In Stock
INV000186,DS001,P001462,170,60,2025-03-24,2025-03-28,B2503240186,Not Applicable,In Stock
INV000187,DS001,P000788,106,36,2025-03-15,2025-03-20,B2503150187,Not Applicable,In Stock
INV000188,DS001,P000810,120,60,2025-03-07,2025-03-11,B2503070188,Not Applicable,In Stock
INV000189,DS001,P001675,27,10,2025-03-05,2025-03-13,B2503050189,Not Applicable,In Stock
INV000190,DS001,P002054,105,36,2025-03-13,2025-03-18,B2503130190,Not Applicable,In Stock
INV000191,DS001,P001804,88,25,2025-03-16,2025-03-23,B2503160191,Not Applicable,In Stock
INV000192,DS001,P001482,34,10,2025-03-17,2025-03-30,B2503170192,Not Applicable,In Stock
INV000193,DS001,P000196,25,10,2025-03-13,2025-03-27,B2503130193,Not Applicable,In Stock
INV000194,DS001,P002081,61,60,2025-03-21,2025-03-26,B2503210194,Not Applicable,In Stock
INV000195,DS001,P001399,78,36,2025-03-19,2025-03-24,B2503190195,Not Applicable,In Stock
INV000196,DS001,P000022,118,75,2025-03-16,2025-03-19,B2503160196,Not Applicable,In Stock
INV000197,DS001,P000236,164,75,2025-03-04,2025-03-07,B2503040197,Not Applicable,In Stock
INV000198,DS001,P001530,214,75,2025-03-02,2025-03-06,B2503020198,Not Applicable,In Stock
INV000199,DS001,P000012,247,75,2025-03-27,2025-03-30,B2503270199,Not Applicable,In Stock
INV000200,DS001,P000375,31,15,2025-03-12,2025-03-20,B2503120200,Not Applicable,In Stock
INV000201,DS001,P001266,149,45,2025-03-10,2025-03-15,B2503100201,2025-03-13,In Stock
INV000202,DS001,P001597,204,75,2025-03-04,2025-03-09,B2503040202,Not Applicable,In Stock
INV000203,DS001,P001504,0,75,2025-03-11,2025-04-03,B2503110203,Not Applicable,Out of Stock
INV000204,DS001,P000522,67,20,2025-03-29,2025-04-06,B2503290204,2025-09-14,In Stock
INV000205,DS001,P001644,42,36,2025-03-17,2025-03-20,B2503170205,2025-03-18,In Stock
INV000206,DS001,P000552,0,25,2025-03-06,2025-04-01,B2503060206,Not Applicable,Out of Stock
INV000207,DS001,P001724,33,20,2025-03-24,2025-04-01,B2503240207,Not Applicable,In Stock
INV000208,DS001,P001499,93,60,2025-03-26,2025-03-29,B2503260208,Not Applicable,In Stock
INV000209,DS001,P001964,141,75,2025-03-16,2025-03-21,B2503160209,Not Applicable,In Stock
INV000210,DS001,P001516,145,75,2025-03-17,2025-03-21,B2503170210,Not Applicable,In Stock
INV000211,DS001,P001310,74,20,2025-03-03,2025-03-10,B2503030211,Not Applicable,In Stock
INV000212,DS001,P000218,38,10,2025-03-20,2025-04-01,B2503200212,Not Applicable,In Stock
INV000213,DS001,P000615,114,60,2025-03-17,2025-03-21,B2503170213,Not Applicable,In Stock
INV000214,DS001,P000569,40,10,2025-03-28,2025-04-08,B2503280214,Not Applicable,In Stock
INV000215,DS001,P002252,52,20,2025-03-09,2025-03-16,B2503090215,Not Applicable,In Stock
INV000216,DS001,P000910,45,20,2025-03-23,2025-03-28,B2503230216,2025-08-05,In Stock
INV000217,DS001,P002066,23,20,2025-03-02,2025-03-10,B2503020217,2025-08-06,In Stock
INV000218,DS001,P001458,138,75,2025-03-12,2025-03-16,B2503120218,Not Applicable,In Stock
INV000219,DS001,P001839,114,60,2025-03-10,2025-03-15,B2503100219,Not Applicable,In Stock
INV000220,DS001,P001330,85,60,2025-03-11,2025-03-14,B2503110220,Not Applicable,In Stock
INV000221,DS001,P001135,39,20,2025-03-06,2025-03-14,B2503060221,2025-06-06,In Stock
INV000222,DS001,P000455,155,75,2025-03-21,2025-03-26,B2503210222,Not Applicable,In Stock
INV000223,DS001,P001667,44,10,2025-03-03,2025-03-16,B2503030223,Not Applicable,In Stock
INV000224,DS001,P000057,36,20,2025-03-23,2025-03-31,B2503230224,Not Applicable,In Stock
INV000225,DS001,P000412,58,20,2025-03-06,2025-03-11,B2503060225,Not Applicable,In Stock
INV000226,DS001,P002177,43,20,2025-03-04,2025-03-12,B2503040226,Not Applicable,In Stock
INV000227,DS001,P002209,38,15,2025-03-29,2025-04-06,B2503290227,2025-03-30,In Stock
INV000228,DS001,P002119,26,10,2025-03-13,2025-03-27,B2503130228,Not Applicable,In Stock
INV000229,DS001,P000856,33,25,2025-03-10,2025-03-16,B2503100229,Not Applicable,In Stock
INV000230,DS001,P000037,223,75,2025-03-21,2025-03-26,B2503210230,Not Applicable,In Stock
INV000231,DS001,P002149,0,36,2025-03-05,2025-04-02,B2503050231,2025-03-06,Out of Stock
INV000232,DS001,P000987,37,25,2025-03-30,2025-04-04,B2503300232,Not Applicable,In Stock
INV000233,DS001,P002237,16,15,2025-03-24,2025-03-30,B2503240233,Not Applicable,In Stock
INV000234,DS001,P002231,80,20,2025-03-08,2025-03-16,B2503080234,2025-07-23,In Stock
INV000235,DS001,P001974,56,15,2025-03-28,2025-04-05,B2503280235,2025-03-30,In Stock
INV000236,DS001,P000684,67,25,2025-03-25,2025-04-02,B2503250236,Not Applicable,In Stock
INV000237,DS001,P000890,172,75,2025-03-28,2025-04-02,B2503280237,Not Applicable,In Stock
INV000238,DS001,P001969,245,75,2025-03-20,2025-03-23,B2503200238,Not Applicable,In Stock
INV000239,DS001,P000737,17,10,2025-03-04,2025-03-19,B2503040239,Not Applicable,In Stock
INV000240,DS001,P000394,111,36,2025-03-12,2025-03-15,B2503120240,Not Applicable,In Stock
INV000241,DS001,P001285,23,15,2025-03-06,2025-03-12,B2503060241,2025-03-07,In Stock
INV000242,DS001,P002168,47,25,2025-03-05,2025-03-11,B2503050242,Not Applicable,In Stock
INV000243,DS001,P001607,77,20,2025-03-12,2025-03-17,B2503120243,2025-07-02,In Stock
INV000244,DS001,P001315,44,15,2025-03-23,2025-03-29,B2503230244,Not Applicable,In Stock
INV000245,DS001,P000226,46,36,2025-03-31,2025-04-04,B2503310245,2025-04-01,In Stock
INV000246,DS001,P001420,124,75,2025-03-23,2025-03-26,B2503230246,Not Applicable,In Stock
INV000247,DS001,P002291,109,75,2025-03-08,2025-03-11,B2503080247,Not Applicable,In Stock
INV000248,DS001,P000327,211,75,2025-03-13,2025-03-16,B2503130248,Not Applicable,In Stock
INV000249,DS001,P001195,108,36,2025-03-30,2025-04-04,B2503300249,Not Applicable,In Stock
INV000250,DS001,P001710,183,60,2025-03-22,2025-03-26,B2503220250,Not Applicable,In Stock
INV000251,DS001,P001609,0,75,2025-03-16,2025-04-02,B2503160251,Not Applicable,Out of Stock
INV000252,DS001,P001622,71,20,2025-03-29,2025-04-03,B2503290252,Not Applicable,In Stock
INV000253,DS001,P000832,82,60,2025-03-23,2025-03-28,B2503230253,Not Applicable,In Stock
INV000254,DS001,P000682,56,20,2025-03-19,2025-03-26,B2503190254,Not Applicable,In Stock
INV000255,DS001,P001872,32,25,2025-03-06,2025-03-11,B2503060255,Not Applicable,In Stock
INV000256,DS001,P001873,59,15,2025-03-14,2025-03-20,B2503140256,Not Applicable,In Stock
INV000257,DS001,P002007,185,75,2025-03-21,2025-03-25,B2503210257,Not Applicable,In Stock
INV000258,DS001,P002115,35,15,2025-03-18,2025-03-25,B2503180258,2025-03-20,In Stock
INV000259,DS001,P001179,80,25,2025-03-29,2025-04-03,B2503290259,Not Applicable,In Stock
INV000260,DS001,P001156,0,75,2025-03-28,2025-04-03,B2503280260,Not Applicable,Out of Stock
INV000261,DS001,P001846,45,10,2025-03-30,2025-04-12,B2503300261,Not Applicable,In Stock
INV000262,DS001,P001500,69,20,2025-03-04,2025-03-09,B2503040262,Not Applicable,In Stock
INV000263,DS001,P001621,37,15,2025-03-28,2025-04-03,B2503280263,2025-03-29,In Stock
INV000264,DS001,P001841,169,75,2025-03-04,2025-03-09,B2503040264,Not Applicable,In Stock
INV000265,DS001,P002061,226,75,2025-03-24,2025-03-28,B2503240265,Not Applicable,In Stock
INV000266,DS001,P000868,49,10,2025-03-12,2025-03-20,B2503120266,Not Applicable,In Stock
INV000267,DS001,P001333,148,75,2025-03-31,2025-04-03,B2503310267,Not Applicable,In Stock
INV000268,DS001,P000084,73,36,2025-03-20,2025-03-23,B2503200268,2025-03-21,In Stock
INV000269,DS001,P001074,19,15,2025-03-27,2025-04-01,B2503270269,2025-03-28,In Stock
INV000270,DS001,P000665,88,36,2025-03-21,2025-03-24,B2503210270,2025-04-03,In Stock
INV000271,DS001,P000071,112,45,2025-03-12,2025-03-15,B2503120271,2025-03-15,In Stock
INV000272,DS001,P000087,62,60,2025-03-10,2025-03-13,B2503100272,Not Applicable,In Stock
INV000273,DS001,P001903,92,36,2025-03-12,2025-03-16,B2503120273,Not Applicable,In Stock
INV000274,DS001,P000834,42,10,2025-03-28,2025-04-10,B2503280274,Not Applicable,In Stock
INV000275,DS001,P000296,53,15,2025-03-13,2025-03-21,B2503130275,Not Applicable,In Stock
INV000276,DS001,P001204,43,20,2025-03-19,2025-03-24,B2503190276,Not Applicable,In Stock
INV000277,DS001,P001780,42,20,2025-03-07,2025-03-13,B2503070277,Not Applicable,In Stock
INV000278,DS001,P000502,80,60,2025-03-31,2025-04-04,B2503310278,Not Applicable,In Stock
INV000279,DS001,P001439,147,60,2025-03-14,2025-03-19,B2503140279,Not Applicable,In Stock
INV000280,DS001,P000198,115,36,2025-03-06,2025-03-10,B2503060280,2025-03-07,In Stock
INV000281,DS001,P001225,11,10,2025-03-17,2025-03-26,B2503170281,Not Applicable,In Stock
