Order_Detail_ID,Order_ID,Product_ID,Quantity,Selling_Price,Item_Discount,Final_Item_Price
OD00000095,ORD0000034,P000644,2,211.75,156.2,267.3
OD00000096,ORD0000034,P001638,1,26.25,9.68,16.57
OD00000097,ORD0000034,P000886,1,467.43,172.41,295.02
OD00000098,ORD0000035,P001740,1,494.57,125.83,368.74
OD00000099,ORD0000035,P000277,4,57.8,58.83,172.37
OD00000100,ORD0000035,P000220,1,53.49,13.61,39.88
OD00000101,ORD0000036,P001302,2,176.4,73.86,278.94
OD00000102,ORD0000037,P000970,4,62.84,75.7,175.66000000000005
OD00000103,ORD0000037,P000726,4,59.46,71.63,166.21
OD00000104,ORD0000037,P001942,4,53.76,64.76,150.27999999999997
OD00000105,ORD0000038,P001433,1,227.11,27.14,199.97
OD00000106,ORD0000038,P001943,2,71.66,17.13,126.19
OD00000107,ORD0000038,P000701,4,33.4,15.97,117.63
OD00000108,ORD0000038,P001323,1,63.15,7.55,55.6
OD00000109,ORD0000038,P000386,1,56.52,6.76,49.760000000000005
OD00000110,ORD0000038,P000912,1,56.02,6.7,49.32
OD00000111,ORD0000038,P001445,1,53.4,6.38,47.02
OD00000112,ORD0000038,P000657,1,35.83,4.28,31.55
OD00000113,ORD0000039,P002197,1,317.57,101.34,216.23
OD00000114,ORD0000039,P000755,1,298.96,95.39,203.57
OD00000115,ORD0000039,P001972,1,64.76,20.66,44.10000000000001
OD00000116,ORD0000039,P001348,1,13.6,4.34,9.26
OD00000117,ORD0000040,P001472,4,96.79,5.46,381.7
OD00000118,ORD0000040,P001044,1,161.35,2.28,159.07
OD00000119,ORD0000040,P002223,2,17.24,0.49,33.989999999999995
OD00000120,ORD0000041,P000180,2,41.7,23.9,59.50000000000001
OD00000121,ORD0000041,P002250,4,57.7,66.13,164.67000000000002
OD00000122,ORD0000042,P000012,3,34.63,15.93,87.96000000000001
OD00000123,ORD0000042,P001018,2,86.93,26.66,147.20000000000002
OD00000124,ORD0000042,P000927,2,26.92,8.26,45.580000000000005
OD00000125,ORD0000042,P001432,2,63.82,19.58,108.06
OD00000126,ORD0000043,P001358,2,33.33,0.14,66.52
OD00000127,ORD0000043,P001387,1,78.99,0.17,78.82
OD00000128,ORD0000043,P000872,2,111.79,0.48,223.1
OD00000129,ORD0000044,P001477,1,516.48,153.91,362.5700000000001
OD00000130,ORD0000045,P000696,2,273.59,61.12,486.06
OD00000131,ORD0000046,P001697,1,212.08,14.92,197.16000000000005
OD00000132,ORD0000046,P001303,2,10.43,1.47,19.39
OD00000133,ORD0000046,P001101,1,32.4,2.28,30.12
OD00000134,ORD0000047,P000299,2,202.77,150.45,255.09000000000003
OD00000135,ORD0000047,P000797,2,142.8,105.95,179.65000000000003
OD00000136,ORD0000048,P002138,1,396.22,53.91,342.31
OD00000137,ORD0000048,P001394,1,101.9,13.87,88.03
OD00000138,ORD0000048,P001102,2,49.62,13.51,85.72999999999999
OD00000139,ORD0000048,P000186,1,42.44,5.78,36.66
OD00000140,ORD0000049,P000200,1,154.38,42.56,111.82
OD00000141,ORD0000049,P000190,3,181.94,150.46,395.3599999999999
OD00000142,ORD0000050,P002036,2,175.35,37.32,313.38
OD00000143,ORD0000051,P001868,1,46.28,12.9,33.38
OD00000144,ORD0000051,P000874,2,107.67,60.04,155.3
OD00000145,ORD0000052,P000021,2,61.51,21.88,101.14
OD00000146,ORD0000052,P000821,1,53.31,9.48,43.83
OD00000147,ORD0000052,P001006,1,73.59,13.09,60.5
OD00000148,ORD0000053,P000337,2,284.23,193.92,374.54
OD00000149,ORD0000053,P001652,1,30.01,10.24,19.770000000000003
OD00000150,ORD0000053,P000364,1,11.04,3.77,7.27
OD00000151,ORD0000054,P001710,2,228.94,182.86,275.02
OD00000152,ORD0000054,P001465,1,118.28,47.24,71.03999999999999
OD00000153,ORD0000054,P001231,1,105.69,42.21,63.48
OD00000154,ORD0000054,P002305,1,59.46,23.75,35.71
OD00000155,ORD0000055,P000105,2,198.95,109.23,288.67
OD00000156,ORD0000055,P000070,2,95.5,52.44,138.56
OD00000157,ORD0000055,P001646,1,117.6,32.29,85.31
OD00000158,ORD0000056,P002188,1,234.61,31.87,202.74
OD00000159,ORD0000056,P001198,1,202.13,27.45,174.68
OD00000160,ORD0000057,P001819,1,96.77,10.92,85.85
OD00000161,ORD0000057,P001156,1,102.15,11.53,90.62
OD00000162,ORD0000057,P001432,1,63.82,7.2,56.62
OD00000163,ORD0000057,P001727,1,95.65,10.8,84.85000000000001
OD00000164,ORD0000058,P000797,1,142.8,28.64,114.16
OD00000165,ORD0000058,P000919,2,87.17,34.97,139.37
OD00000166,ORD0000059,P001198,1,202.13,65.42,136.70999999999998
OD00000167,ORD0000060,P001905,1,603.53,27.8,575.73
OD00000168,ORD0000060,P000470,3,119.45,16.5,341.85
OD00000169,ORD0000060,P001718,1,216.08,9.95,206.13
OD00000170,ORD0000060,P002212,1,117.88,5.43,112.45
OD00000171,ORD0000060,P000914,2,11.88,1.09,22.67
OD00000172,ORD0000061,P001368,1,96.76,13.21,83.55000000000001
OD00000173,ORD0000061,P002308,4,266.59,145.53,920.83
OD00000174,ORD0000062,P000813,1,289.11,102.69,186.42
OD00000175,ORD0000062,P001096,1,775.02,275.27,499.75
OD00000176,ORD0000063,P000776,3,107.67,17.79,305.22
OD00000177,ORD0000063,P002041,1,123.39,6.8,116.59
OD00000178,ORD0000063,P001418,2,17.86,1.97,33.75
OD00000179,ORD0000064,P000117,1,594.9,53.76,541.14
OD00000180,ORD0000065,P001183,2,327.53,195.78,459.28
OD00000181,ORD0000066,P001937,1,58.81,0.28,58.53
OD00000182,ORD0000066,P001286,1,23.89,0.11,23.78
OD00000183,ORD0000066,P001629,1,320.73,1.52,319.21000000000004
OD00000184,ORD0000066,P000355,1,125.67,0.59,125.08
OD00000185,ORD0000067,P000209,2,241.01,43.05,438.97
OD00000186,ORD0000067,P001954,2,49.22,8.79,89.65
OD00000187,ORD0000067,P000086,1,47.24,4.22,43.02
OD00000188,ORD0000067,P001538,1,34.19,3.05,31.14
OD00000189,ORD0000067,P000924,1,23.55,2.1,21.45
OD00000190,ORD0000068,P001655,5,120.67,115.04,488.31
OD00000191,ORD0000069,P001172,1,24.43,8.87,15.56
OD00000192,ORD0000069,P000621,1,44.99,16.33,28.660000000000004
OD00000193,ORD0000069,P001875,1,62.72,22.77,39.95
OD00000194,ORD0000070,P002255,1,95.08,9.52,85.56
OD00000195,ORD0000070,P001589,1,169.59,16.98,152.61
OD00000196,ORD0000070,P001426,1,273.67,27.4,246.27
OD00000197,ORD0000071,P000759,1,642.38,163.65,478.73
OD00000198,ORD0000071,P000539,3,107.64,82.26,240.66000000000005
OD00000199,ORD0000072,P001161,4,72.63,92.45,198.07
OD00000200,ORD0000073,P001936,1,48.11,10.63,37.48
OD00000201,ORD0000073,P000217,1,438.87,96.92,341.95
OD00000202,ORD0000074,P001750,1,26.75,3.1,23.65
OD00000203,ORD0000074,P002310,1,220.84,25.62,195.22
OD00000204,ORD0000075,P001701,1,27.44,6.79,20.65
OD00000205,ORD0000075,P001073,2,58.1,28.74,87.46000000000001
OD00000206,ORD0000075,P002283,2,121.08,59.9,182.26
OD00000207,ORD0000076,P002106,2,229.38,8.46,450.3
OD00000208,ORD0000076,P001674,1,50.34,0.93,49.41
OD00000209,ORD0000077,P000886,1,467.43,152.35,315.08000000000004
OD00000210,ORD0000077,P001752,2,125.14,81.57,168.71
OD00000211,ORD0000078,P000018,1,184.38,32.06,152.32
OD00000212,ORD0000078,P000392,2,80.47,27.99,132.95
OD00000213,ORD0000078,P001458,2,61.68,21.46,101.9
OD00000214,ORD0000078,P000889,3,38.25,19.96,94.79
OD00000215,ORD0000078,P001995,1,107.98,18.78,89.2
OD00000216,ORD0000078,P001685,1,66.33,11.54,54.79
OD00000217,ORD0000078,P000580,4,13.61,9.47,44.97
OD00000218,ORD0000078,P000458,1,53.34,9.28,44.06
OD00000219,ORD0000078,P001864,1,34.94,6.08,28.86
OD00000220,ORD0000078,P000610,1,14.43,2.51,11.92
OD00000221,ORD0000079,P001125,3,81.57,14.78,229.93
OD00000222,ORD0000079,P001878,3,23.21,4.2,65.42999999999999
OD00000223,ORD0000079,P001538,1,34.19,2.06,32.129999999999995
OD00000224,ORD0000080,P002126,2,34.09,4.55,63.63000000000001
OD00000225,ORD0000080,P001277,1,128.8,8.6,120.20000000000002
OD00000226,ORD0000081,P000244,3,193.57,48.16,532.5500000000001
OD00000227,ORD0000082,P000564,5,30.78,23.95,129.95000000000002
OD00000228,ORD0000082,P000451,1,225.83,35.14,190.69
OD00000229,ORD0000083,P001994,1,96.0,15.86,80.14
OD00000230,ORD0000083,P001755,1,676.52,111.75,564.77
OD00000231,ORD0000084,P001577,2,94.02,63.29,124.75
OD00000232,ORD0000085,P000119,1,56.16,22.25,33.91
OD00000233,ORD0000085,P000717,2,204.46,161.97,246.95
OD00000234,ORD0000086,P000178,1,201.72,76.31,125.41
OD00000235,ORD0000086,P002213,2,13.25,10.02,16.48
OD00000236,ORD0000086,P000228,1,198.22,74.99,123.23
OD00000237,ORD0000087,P000005,1,414.83,49.62,365.21
OD00000238,ORD0000087,P001552,1,59.4,7.11,52.29
OD00000239,ORD0000088,P001624,2,225.32,104.82,345.82
OD00000240,ORD0000088,P002019,2,109.44,50.92,167.95999999999998
OD00000241,ORD0000088,P001347,1,32.08,7.46,24.62
OD00000242,ORD0000088,P000805,1,22.55,5.25,17.3
OD00000243,ORD0000088,P000975,1,18.64,4.34,14.3
OD00000244,ORD0000089,P001310,1,107.16,35.08,72.08
OD00000245,ORD0000089,P000465,2,117.81,77.13,158.49
OD00000246,ORD0000089,P001139,2,97.73,63.98,131.48000000000002
OD00000247,ORD0000090,P000498,2,185.73,141.09,230.37
OD00000248,ORD0000090,P001087,1,188.37,71.55,116.82
OD00000249,ORD0000090,P000851,1,109.02,41.41,67.61
OD00000250,ORD0000090,P002031,2,234.38,178.05,290.71
OD00000251,ORD0000091,P000399,1,127.88,23.7,104.18
OD00000252,ORD0000091,P000943,3,49.65,27.61,121.34
OD00000253,ORD0000091,P001324,3,50.65,28.16,123.79
OD00000254,ORD0000092,P000181,2,147.37,116.11,178.63
OD00000255,ORD0000093,P001360,4,91.77,87.5,279.58
OD00000256,ORD0000093,P001317,1,205.22,48.92,156.3
OD00000257,ORD0000093,P000773,5,35.94,42.84,136.86
OD00000258,ORD0000093,P000306,1,144.25,34.39,109.86
OD00000259,ORD0000093,P001937,2,58.81,28.04,89.58000000000001
OD00000260,ORD0000093,P000273,1,78.47,18.71,59.76
OD00000261,ORD0000093,P000346,1,28.74,6.85,21.89
OD00000262,ORD0000093,P000336,1,18.17,4.33,13.840000000000002
OD00000263,ORD0000094,P000095,3,217.36,159.25,492.83
OD00000264,ORD0000095,P001312,4,106.48,132.9,293.02
OD00000265,ORD0000096,P001396,2,178.96,139.26,218.66
OD00000266,ORD0000096,P001629,1,320.73,124.78,195.95
OD00000267,ORD0000096,P001288,1,107.47,41.81,65.66
OD00000268,ORD0000097,P001846,1,726.64,284.36,442.28
OD00000269,ORD0000098,P001722,1,73.37,0.07,73.30000000000001
OD00000270,ORD0000098,P002019,5,109.44,0.56,546.6400000000001
OD00000271,ORD0000099,P000015,3,206.98,14.76,606.18
OD00000272,ORD0000100,P000132,2,226.8,84.81,368.79
OD00000273,ORD0000100,P000189,1,864.39,161.63,702.76
OD00000274,ORD0000100,P000782,2,232.59,86.98,378.2
OD00000275,ORD0000101,P000987,1,538.74,180.73,358.01
OD00000276,ORD0000101,P000892,2,140.5,94.26,186.74
OD00000277,ORD0000101,P000991,1,51.61,17.31,34.3
OD00000278,ORD0000102,P002081,1,216.62,25.82,190.8
OD00000279,ORD0000102,P000178,1,201.72,24.05,177.67
OD00000280,ORD0000102,P000861,1,211.72,25.24,186.48
OD00000281,ORD0000103,P001439,2,114.69,76.85,152.53
OD00000282,ORD0000103,P001567,1,130.56,43.75,86.81
OD00000283,ORD0000103,P001497,1,101.53,34.02,67.50999999999999
OD00000284,ORD0000103,P002270,1,52.07,17.45,34.620000000000005
OD00000285,ORD0000103,P002269,1,46.24,15.49,30.75
OD00000286,ORD0000103,P001622,1,27.21,9.12,18.090000000000003
OD00000287,ORD0000103,P001226,1,26.77,8.97,17.799999999999997
OD00000288,ORD0000104,P002035,3,46.48,35.41,104.03
OD00000289,ORD0000104,P000943,2,49.65,25.22,74.08
OD00000290,ORD0000104,P000783,2,37.54,19.07,56.01
OD00000291,ORD0000104,P002195,2,43.32,22.0,64.64
OD00000292,ORD0000104,P000357,1,69.45,17.64,51.81
OD00000293,ORD0000104,P001458,3,61.68,47.0,138.04
OD00000294,ORD0000105,P000829,1,80.11,10.68,69.43
OD00000295,ORD0000105,P000205,1,40.84,5.45,35.39
OD00000296,ORD0000106,P002170,1,27.74,9.93,17.81
OD00000297,ORD0000106,P000674,1,275.44,98.6,176.84
OD00000298,ORD0000106,P001913,3,57.64,61.9,111.02
OD00000299,ORD0000107,P000398,3,31.28,19.21,74.63
OD00000300,ORD0000107,P000054,1,249.02,50.98,198.04
OD00000301,ORD0000108,P000565,1,74.47,21.02,53.45
OD00000302,ORD0000108,P001587,1,125.29,35.37,89.92000000000002
OD00000303,ORD0000109,P001975,2,108.97,37.28,180.66
OD00000304,ORD0000109,P000857,1,100.98,17.28,83.7
OD00000305,ORD0000109,P000175,1,269.01,46.02,222.99
OD00000306,ORD0000110,P001228,2,43.01,28.64,57.38
OD00000307,ORD0000110,P001288,4,107.47,143.11,286.77
OD00000308,ORD0000111,P001002,1,213.01,24.53,188.48
OD00000309,ORD0000111,P000556,2,62.45,14.39,110.51
OD00000310,ORD0000111,P001930,1,26.89,3.1,23.79
OD00000311,ORD0000112,P002213,2,13.25,1.98,24.52
OD00000312,ORD0000112,P001146,1,296.79,22.21,274.58000000000004
OD00000313,ORD0000113,P000922,1,763.0,258.26,504.74
OD00000314,ORD0000114,P001220,2,17.2,2.96,31.44
OD00000315,ORD0000114,P000822,5,25.33,10.9,115.75
OD00000316,ORD0000115,P001470,1,78.81,31.04,47.77
OD00000317,ORD0000115,P000876,4,77.57,122.19,188.09
OD00000318,ORD0000116,P000349,2,26.47,2.06,50.88
OD00000319,ORD0000116,P000575,1,267.96,10.4,257.56
OD00000320,ORD0000116,P000991,1,51.61,2.0,49.61
OD00000321,ORD0000116,P000541,1,63.12,2.45,60.67
OD00000322,ORD0000116,P000564,1,30.78,1.2,29.58
OD00000323,ORD0000117,P000012,1,34.63,0.93,33.7
OD00000324,ORD0000117,P000533,1,566.84,15.18,551.6600000000001
OD00000325,ORD0000117,P000703,1,51.92,1.39,50.53
OD00000326,ORD0000118,P001928,3,117.7,116.88,236.22000000000003
OD00000327,ORD0000119,P000419,1,15.4,5.66,9.74
OD00000328,ORD0000119,P002183,1,78.13,28.7,49.42999999999999
OD00000329,ORD0000119,P001827,2,250.37,183.95,316.79
OD00000330,ORD0000120,P001117,1,157.3,45.51,111.79000000000002
OD00000331,ORD0000120,P002308,2,266.59,154.27,378.91
OD00000332,ORD0000121,P000084,2,27.33,4.01,50.65
OD00000333,ORD0000121,P001548,2,302.03,44.26,559.8
OD00000334,ORD0000121,P001780,1,61.45,4.5,56.95
OD00000335,ORD0000122,P000393,1,51.43,14.01,37.42
OD00000336,ORD0000122,P001869,2,133.82,72.89,194.75
OD00000337,ORD0000123,P002278,1,336.64,122.93,213.71
OD00000338,ORD0000123,P000706,3,81.55,89.33,155.32
OD00000339,ORD0000124,P001794,1,146.5,16.86,129.64
OD00000340,ORD0000125,P000514,2,11.33,6.69,15.97
OD00000341,ORD0000125,P002313,2,64.37,37.98,90.76000000000002
OD00000342,ORD0000125,P000272,2,62.05,36.61,87.49
OD00000343,ORD0000126,P002180,1,35.25,5.94,29.31
OD00000344,ORD0000126,P000651,2,274.64,92.54,456.74
OD00000345,ORD0000127,P000069,1,169.13,65.61,103.52
OD00000346,ORD0000127,P001398,1,143.49,55.66,87.83000000000001
OD00000347,ORD0000128,P000382,1,401.82,66.65,335.17
OD00000348,ORD0000129,P001871,1,26.17,4.98,21.19
OD00000349,ORD0000129,P001293,1,33.57,6.39,27.18
OD00000350,ORD0000129,P002193,1,79.05,15.04,64.00999999999999
OD00000351,ORD0000129,P002173,1,18.12,3.45,14.670000000000002
OD00000352,ORD0000129,P001380,1,49.79,9.47,40.32
OD00000353,ORD0000130,P002281,1,130.31,36.19,94.12
OD00000354,ORD0000130,P000798,1,12.58,3.49,9.09
OD00000355,ORD0000130,P001458,4,61.68,68.52,178.2
OD00000356,ORD0000131,P002158,1,143.05,7.53,135.52
OD00000357,ORD0000132,P002210,1,211.25,30.09,181.16
OD00000358,ORD0000132,P002182,1,71.08,10.13,60.95
OD00000359,ORD0000132,P000198,1,23.36,3.33,20.03
OD00000360,ORD0000133,P000348,1,29.35,9.41,19.94
OD00000361,ORD0000133,P002165,1,601.87,192.98,408.89
OD00000362,ORD0000133,P002092,2,191.1,122.54,259.66
OD00000363,ORD0000134,P000503,1,25.84,9.5,16.34
OD00000364,ORD0000134,P000777,1,56.28,20.69,35.59
OD00000365,ORD0000134,P002100,1,84.84,31.19,53.650000000000006
OD00000366,ORD0000134,P001997,1,71.56,26.3,45.260000000000005
OD00000367,ORD0000134,P001640,1,54.74,20.12,34.620000000000005
OD00000368,ORD0000134,P001364,2,150.16,110.39,189.93
OD00000369,ORD0000135,P000904,2,9.97,7.52,12.420000000000002
OD00000370,ORD0000135,P000273,2,78.47,59.15,97.79
OD00000371,ORD0000135,P000034,1,196.43,74.03,122.4
OD00000372,ORD0000136,P001180,2,42.45,27.79,57.11000000000001
OD00000373,ORD0000136,P002159,4,87.57,114.67,235.61
OD00000374,ORD0000137,P002118,2,204.18,126.09,282.27
OD00000375,ORD0000137,P000461,2,103.58,63.96,143.2
OD00000376,ORD0000138,P000068,1,218.79,52.71,166.07999999999998
OD00000377,ORD0000139,P002048,1,180.1,37.2,142.9
OD00000378,ORD0000139,P000673,1,91.5,18.91,72.59
OD00000379,ORD0000139,P002100,1,84.84,17.53,67.31
OD00000380,ORD0000139,P001997,1,71.56,14.79,56.77
OD00000381,ORD0000139,P000434,1,47.9,9.9,38.0
OD00000382,ORD0000139,P000433,1,37.77,7.8,29.97
OD00000383,ORD0000139,P001539,1,27.42,5.67,21.75
OD00000384,ORD0000140,P000980,1,22.11,0.87,21.24
OD00000385,ORD0000140,P001312,1,106.48,4.2,102.28
OD00000386,ORD0000140,P002024,2,70.09,5.52,134.66
OD00000387,ORD0000140,P000968,2,77.9,6.14,149.66000000000005
OD00000388,ORD0000140,P002313,2,64.37,5.07,123.67000000000002
OD00000389,ORD0000141,P001670,1,511.22,130.45,380.77
OD00000390,ORD0000142,P001836,1,68.52,22.48,46.03999999999999
OD00000391,ORD0000142,P000380,2,60.87,39.93,81.81
OD00000392,ORD0000143,P000226,1,41.66,14.03,27.629999999999995
OD00000393,ORD0000143,P000433,1,37.77,12.72,25.050000000000004
OD00000394,ORD0000143,P001833,2,170.62,114.93,226.31
OD00000395,ORD0000144,P001964,2,13.88,10.66,17.1
OD00000396,ORD0000144,P000282,1,37.05,14.22,22.83
OD00000397,ORD0000144,P001112,1,204.97,78.67,126.3
OD00000398,ORD0000145,P000091,2,106.61,12.77,200.45
OD00000399,ORD0000145,P001923,1,23.49,1.41,22.08
OD00000400,ORD0000146,P002314,2,17.13,10.03,24.23
OD00000401,ORD0000146,P001941,2,25.45,14.91,35.989999999999995
OD00000402,ORD0000146,P002199,2,95.9,56.17,135.63
OD00000403,ORD0000147,P000385,1,669.94,258.35,411.59
OD00000404,ORD0000148,P001701,1,27.44,0.35,27.09
OD00000405,ORD0000148,P000616,1,146.91,1.88,145.03
OD00000406,ORD0000148,P000858,1,36.48,0.47,36.01
OD00000407,ORD0000148,P001312,2,106.48,2.73,210.23
OD00000408,ORD0000149,P000534,1,61.01,13.58,47.43
OD00000409,ORD0000149,P000272,3,62.05,41.42,144.72999999999996
OD00000410,ORD0000150,P002226,2,24.51,8.09,40.93000000000001
OD00000411,ORD0000150,P001586,2,11.2,3.7,18.7
OD00000412,ORD0000150,P001583,1,143.23,23.64,119.59
OD00000413,ORD0000150,P001412,1,63.56,10.49,53.07
OD00000414,ORD0000150,P000368,1,166.03,27.4,138.63
OD00000415,ORD0000151,P002210,1,211.25,68.96,142.29000000000002
OD00000416,ORD0000151,P000155,2,167.81,109.57,226.05
OD00000417,ORD0000152,P001159,2,40.45,13.58,67.32000000000001
OD00000418,ORD0000152,P001614,3,63.28,31.86,157.98000000000002
OD00000419,ORD0000153,P002207,2,27.0,5.09,48.91
OD00000420,ORD0000153,P000045,1,129.27,12.2,117.07
OD00000421,ORD0000154,P000397,1,25.56,10.13,15.429999999999998
OD00000422,ORD0000154,P001548,2,302.03,239.4,364.66
OD00000423,ORD0000155,P000729,3,426.6,305.29,974.5100000000002
OD00000424,ORD0000156,P000336,1,18.17,6.39,11.78
OD00000425,ORD0000156,P001075,3,114.98,121.33,223.61
OD00000426,ORD0000156,P000059,1,412.62,145.14,267.48
OD00000427,ORD0000157,P002272,4,10.52,9.04,33.04
OD00000428,ORD0000157,P002090,4,17.34,14.91,54.45
OD00000429,ORD0000158,P001700,1,293.01,104.44,188.57
OD00000430,ORD0000158,P001848,4,42.95,61.24,110.56
OD00000431,ORD0000158,P002307,1,96.24,34.31,61.92999999999999
OD00000432,ORD0000158,P001516,2,12.13,8.65,15.61
OD00000433,ORD0000159,P000540,2,21.34,4.29,38.39
OD00000434,ORD0000159,P000193,1,67.16,6.74,60.42
OD00000435,ORD0000160,P002118,1,204.18,51.75,152.43
OD00000436,ORD0000160,P001743,1,82.14,20.82,61.32
OD00000437,ORD0000161,P000526,1,100.03,6.5,93.53
